"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.016554","0.016841","0.018001","0.016166","-","-1.79%"
"Jun 29, 2018","0.016855","0.016261","0.017135","0.015042","-","3.49%"
"Jun 28, 2018","0.016287","0.016898","0.018727","0.016132","-","-3.61%"
"Jun 27, 2018","0.016897","0.017531","0.018649","0.015348","-","-3.92%"
"Jun 26, 2018","0.017587","0.019064","0.019265","0.017386","-","-7.69%"
"Jun 25, 2018","0.019052","0.019268","0.019486","0.018581","-","-1.15%"
"Jun 24, 2018","0.019274","0.019712","0.019896","0.017957","-","-1.48%"
"Jun 23, 2018","0.019563","0.019426","0.020266","0.019191","-","1.17%"
"Jun 22, 2018","0.019336","0.023331","0.023332","0.019083","-","-17.12%"
"Jun 21, 2018","0.023329","0.023322","0.024942","0.022684","-","0.03%"
"Jun 20, 2018","0.023323","0.021376","0.023731","0.020762","-","8.99%"
"Jun 19, 2018","0.021400","0.021745","0.023171","0.020810","-","-3.20%"
"Jun 18, 2018","0.022107","0.021294","0.022585","0.020237","-","3.90%"
"Jun 17, 2018","0.021277","0.022770","0.023347","0.021196","-","-6.54%"
"Jun 16, 2018","0.022765","0.023529","0.024471","0.021997","-","-3.20%"
"Jun 15, 2018","0.023517","0.025272","0.025876","0.023101","-","-6.77%"
"Jun 14, 2018","0.025224","0.020050","0.025574","0.020044","-","25.68%"
"Jun 13, 2018","0.020070","0.022544","0.022625","0.018045","-","-10.82%"
"Jun 12, 2018","0.022506","0.023978","0.023978","0.022254","-","-6.18%"
"Jun 11, 2018","0.023989","0.024024","0.024147","0.023249","-","-0.03%"
"Jun 10, 2018","0.023996","0.027145","0.027145","0.023692","-","-11.58%"
"Jun 09, 2018","0.027137","0.027681","0.029407","0.027037","-","-2.50%"
"Jun 08, 2018","0.027833","0.029206","0.029208","0.026941","-","-4.74%"
"Jun 07, 2018","0.029218","0.030692","0.031179","0.028658","-","-4.92%"
"Jun 06, 2018","0.030729","0.030284","0.031995","0.029709","-","1.56%"
"Jun 05, 2018","0.030258","0.030181","0.030361","0.027691","-","0.18%"
"Jun 04, 2018","0.030203","0.031402","0.033444","0.030090","-","-3.73%"
"Jun 03, 2018","0.031374","0.031292","0.031725","0.030728","-","0.18%"
"Jun 02, 2018","0.031316","0.031350","0.031946","0.030585","-","-0.03%"
"Jun 01, 2018","0.031325","0.030505","0.031586","0.029345","-","2.43%"
"May 31, 2018","0.030583","0.029501","0.031842","0.029095","-","3.67%"
"May 30, 2018","0.029501","0.033071","0.033071","0.028207","-","-13.05%"
