"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.010770","0.010026","0.011021","0.010018","-","7.42%"
"Jun 29, 2018","0.010026","0.009491","0.010075","0.009050","-","5.64%"
"Jun 28, 2018","0.009491","0.010150","0.010211","0.009415","-","-6.49%"
"Jun 27, 2018","0.010150","0.009918","0.010218","0.009573","-","1.40%"
"Jun 26, 2018","0.010010","0.010595","0.010673","0.009957","-","-5.45%"
"Jun 25, 2018","0.010588","0.010356","0.010887","0.010248","-","2.21%"
"Jun 24, 2018","0.010359","0.011057","0.011155","0.009304","-","-6.19%"
"Jun 23, 2018","0.011043","0.011028","0.011269","0.010820","-","1.25%"
"Jun 22, 2018","0.010907","0.012588","0.012678","0.010747","-","-13.58%"
"Jun 21, 2018","0.012621","0.012810","0.012975","0.012398","-","-1.48%"
"Jun 20, 2018","0.012811","0.012893","0.012976","0.012301","-","-1.26%"
"Jun 19, 2018","0.012975","0.012949","0.013417","0.012699","-","0.46%"
"Jun 18, 2018","0.012915","0.012532","0.013201","0.011968","-","3.14%"
"Jun 17, 2018","0.012522","0.012779","0.013002","0.012436","-","-2.00%"
"Jun 16, 2018","0.012777","0.012866","0.013069","0.012255","-","-0.39%"
"Jun 15, 2018","0.012828","0.014048","0.014048","0.012797","-","-8.07%"
"Jun 14, 2018","0.013954","0.011709","0.015447","0.011615","-","18.93%"
"Jun 13, 2018","0.011733","0.012466","0.012807","0.010815","-","-5.86%"
"Jun 12, 2018","0.012463","0.014256","0.014256","0.012334","-","-12.62%"
"Jun 11, 2018","0.014263","0.013989","0.014796","0.013223","-","2.08%"
"Jun 10, 2018","0.013972","0.016684","0.016684","0.013677","-","-16.23%"
"Jun 09, 2018","0.016680","0.018086","0.018228","0.016624","-","-7.78%"
"Jun 08, 2018","0.018086","0.017255","0.018245","0.017164","-","4.78%"
"Jun 07, 2018","0.017262","0.016418","0.017585","0.016002","-","4.66%"
"Jun 06, 2018","0.016493","0.014989","0.016706","0.014884","-","10.13%"
