"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.067253","0.057243","0.073427","0.057243","32.73M","17.25%"
"Jun 29, 2018","0.057360","0.051681","0.059467","0.050533","10.37M","10.99%"
"Jun 28, 2018","0.051681","0.056336","0.057423","0.050866","7.66M","-8.26%"
"Jun 27, 2018","0.056336","0.053931","0.058280","0.053083","8.05M","4.86%"
"Jun 26, 2018","0.053727","0.057140","0.057442","0.053542","5.36M","-5.77%"
"Jun 25, 2018","0.057020","0.055994","0.058464","0.054706","6.81M","1.77%"
"Jun 24, 2018","0.056030","0.060675","0.060942","0.051233","11.36M","-7.61%"
"Jun 23, 2018","0.060644","0.061333","0.063116","0.058953","7.91M","-1.12%"
"Jun 22, 2018","0.061333","0.071831","0.071949","0.060488","10.61M","-14.57%"
"Jun 21, 2018","0.071791","0.073892","0.074280","0.071135","3.87M","-2.84%"
"Jun 20, 2018","0.073892","0.075572","0.076067","0.071340","4.62M","-2.19%"
"Jun 19, 2018","0.075550","0.075073","0.076773","0.073375","4.16M","0.64%"
"Jun 18, 2018","0.075068","0.073238","0.076367","0.071931","4.27M","2.50%"
"Jun 17, 2018","0.073241","0.075093","0.075598","0.073241","5.50M","-2.47%"
"Jun 16, 2018","0.075093","0.074925","0.075720","0.073489","3.20M","0.06%"
"Jun 15, 2018","0.075052","0.079221","0.079622","0.074680","5.86M","-5.26%"
"Jun 14, 2018","0.079219","0.072822","0.083500","0.072822","17.82M","8.79%"
"Jun 13, 2018","0.072821","0.076192","0.077304","0.069515","10.44M","-4.66%"
"Jun 12, 2018","0.076385","0.081348","0.081983","0.075215","8.28M","-6.16%"
"Jun 11, 2018","0.081401","0.079753","0.082796","0.077275","8.26M","2.07%"
"Jun 10, 2018","0.079753","0.092106","0.092106","0.077841","14.51M","-13.44%"
"Jun 09, 2018","0.092140","0.093561","0.095172","0.091784","4.10M","-1.56%"
"Jun 08, 2018","0.093598","0.095688","0.096246","0.092565","5.48M","-2.18%"
"Jun 07, 2018","0.095687","0.095617","0.099412","0.095071","8.24M","0.07%"
"Jun 06, 2018","0.095617","0.097767","0.098664","0.093833","8.53M","-2.29%"
"Jun 05, 2018","0.097862","0.095916","0.098471","0.091413","15.18M","2.00%"
"Jun 04, 2018","0.095940","0.103069","0.104331","0.094090","19.54M","-6.92%"
"Jun 03, 2018","0.103069","0.103499","0.106319","0.101986","14.45M","-0.42%"
"Jun 02, 2018","0.103499","0.100109","0.104769","0.099331","14.69M","3.45%"
"Jun 01, 2018","0.100048","0.100966","0.102218","0.096692","15.33M","-1.10%"
"May 31, 2018","0.101161","0.095910","0.107037","0.095129","19.50M","5.46%"
"May 30, 2018","0.095926","0.095224","0.100034","0.093231","16.05M","0.74%"
"May 29, 2018","0.095224","0.087406","0.096409","0.087129","12.14M","8.78%"
"May 28, 2018","0.087541","0.092895","0.095261","0.087263","16.00M","-5.85%"
"May 27, 2018","0.092979","0.094327","0.095685","0.092546","7.20M","-1.43%"
"May 26, 2018","0.094327","0.093640","0.097444","0.092545","7.60M","0.73%"
"May 25, 2018","0.093640","0.098237","0.098237","0.092152","8.92M","-4.61%"
"May 24, 2018","0.098167","0.094004","0.098436","0.089108","13.37M","4.61%"
"May 23, 2018","0.093837","0.105510","0.106365","0.090675","14.58M","-11.24%"
"May 22, 2018","0.105714","0.115128","0.115382","0.105474","9.40M","-8.18%"
"May 21, 2018","0.115128","0.117822","0.120320","0.114067","11.40M","-2.29%"
"May 20, 2018","0.117822","0.114038","0.121210","0.112521","9.16M","3.32%"
"May 19, 2018","0.114038","0.112887","0.116505","0.111448","9.79M","1.21%"
"May 18, 2018","0.112678","0.112725","0.113732","0.109097","10.52M","-0.04%"
"May 17, 2018","0.112725","0.116576","0.120903","0.111737","13.55M","-3.30%"
"May 16, 2018","0.116576","0.118935","0.120259","0.112307","13.64M","-1.98%"
"May 15, 2018","0.118935","0.125000","0.128213","0.117773","14.46M","-4.85%"
"May 14, 2018","0.125000","0.128092","0.128952","0.116920","20.81M","-2.41%"
"May 13, 2018","0.128092","0.121670","0.131007","0.118183","16.12M","5.73%"
"May 12, 2018","0.121155","0.121926","0.126842","0.108399","29.84M","-0.63%"
"May 11, 2018","0.121926","0.141811","0.143496","0.115788","38.81M","-13.98%"
"May 10, 2018","0.141737","0.152740","0.159757","0.141185","26.81M","-7.07%"
"May 09, 2018","0.152517","0.157899","0.158472","0.146046","16.96M","-3.16%"
"May 08, 2018","0.157496","0.156702","0.161848","0.150849","20.93M","0.17%"
"May 07, 2018","0.157226","0.163903","0.164421","0.150222","22.74M","-4.09%"
"May 06, 2018","0.163937","0.176058","0.176324","0.156901","33.81M","-7.15%"
"May 05, 2018","0.176571","0.167981","0.178524","0.167713","36.07M","5.11%"
"May 04, 2018","0.167981","0.166239","0.175266","0.160664","39.71M","0.86%"
"May 03, 2018","0.166551","0.163143","0.186728","0.157806","51.84M","2.12%"
"May 02, 2018","0.163096","0.156297","0.163288","0.153455","20.78M","4.58%"
"May 01, 2018","0.155958","0.157060","0.157535","0.144045","21.69M","-0.80%"
"Apr 30, 2018","0.157211","0.173463","0.173980","0.154728","32.90M","-9.37%"
"Apr 29, 2018","0.173463","0.161550","0.186056","0.157918","52.82M","7.37%"
"Apr 28, 2018","0.161550","0.136805","0.164302","0.136316","44.96M","18.09%"
"Apr 27, 2018","0.136805","0.145597","0.146810","0.136805","24.40M","-6.04%"
"Apr 26, 2018","0.145597","0.132126","0.146602","0.127375","30.87M","10.13%"
"Apr 25, 2018","0.132200","0.160182","0.160874","0.128484","37.05M","-17.88%"
"Apr 24, 2018","0.160982","0.150117","0.165055","0.149331","48.55M","7.24%"
"Apr 23, 2018","0.150117","0.149196","0.151292","0.147190","26.44M","0.62%"
"Apr 22, 2018","0.149196","0.153337","0.156749","0.145524","32.25M","-2.70%"
"Apr 21, 2018","0.153337","0.151426","0.159772","0.138537","43.59M","1.26%"
"Apr 20, 2018","0.151426","0.138357","0.152668","0.135364","34.20M","9.05%"
"Apr 19, 2018","0.138861","0.133202","0.138894","0.131417","35.14M","4.09%"
"Apr 18, 2018","0.133402","0.119993","0.133878","0.119117","34.68M","11.18%"
"Apr 17, 2018","0.119993","0.118011","0.125234","0.115726","31.04M","1.55%"
"Apr 16, 2018","0.118158","0.123639","0.123854","0.111647","35.96M","-4.43%"
"Apr 15, 2018","0.123639","0.112086","0.125341","0.112011","41.17M","10.31%"
"Apr 14, 2018","0.112086","0.110708","0.117065","0.108323","42.57M","1.25%"
"Apr 13, 2018","0.110708","0.110450","0.127701","0.107156","88.09M","0.23%"
