"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","1.59920","1.21599","1.67006","1.21592","-","31.55%"
"Jun 29, 2018","1.21562","1.17069","1.23167","1.13010","-","3.67%"
"Jun 28, 2018","1.17257","1.27460","1.28145","1.16681","-","-8.01%"
"Jun 27, 2018","1.27466","1.27089","1.29525","1.24925","-","0.45%"
"Jun 26, 2018","1.26892","1.33842","1.40825","1.25949","-","-5.15%"
"Jun 25, 2018","1.33782","1.29986","1.36557","1.26887","-","2.89%"
"Jun 24, 2018","1.30028","1.34629","1.35292","1.21344","-","-3.29%"
"Jun 23, 2018","1.34454","1.33976","1.37862","1.31725","-","0.31%"
"Jun 22, 2018","1.34033","1.56043","1.56686","1.31065","-","-14.10%"
"Jun 21, 2018","1.56031","1.63599","1.63920","1.54985","-","-4.63%"
"Jun 20, 2018","1.63607","1.68577","1.69126","1.58388","-","-3.06%"
"Jun 19, 2018","1.68767","1.65676","1.72852","1.61774","-","1.75%"
"Jun 18, 2018","1.65864","1.61231","1.66595","1.54215","-","2.95%"
"Jun 17, 2018","1.61104","1.64330","1.67379","1.61075","-","-1.94%"
"Jun 16, 2018","1.64300","1.64345","1.67181","1.61068","-","0.02%"
"Jun 15, 2018","1.64268","1.77955","1.77955","1.63894","-","-7.51%"
"Jun 14, 2018","1.77615","1.64021","1.80049","1.61053","-","8.92%"
"Jun 13, 2018","1.63064","1.70866","1.76385","1.56710","-","-4.93%"
"Jun 12, 2018","1.71521","1.85527","1.94575","1.69286","-","-7.57%"
"Jun 11, 2018","1.85571","1.84314","1.90541","1.71438","-","0.88%"
"Jun 10, 2018","1.83950","2.22681","2.23676","1.80376","-","-17.36%"
"Jun 09, 2018","2.22590","2.28451","2.31222","2.21670","-","-2.53%"
"Jun 08, 2018","2.28378","2.34780","2.35856","2.24546","-","-2.77%"
"Jun 07, 2018","2.34894","2.41272","2.45546","2.33113","-","-2.98%"
"Jun 06, 2018","2.42101","2.36473","2.46052","2.30829","-","2.42%"
"Jun 05, 2018","2.36378","2.34276","2.40066","2.23104","-","0.86%"
"Jun 04, 2018","2.34370","2.54939","2.57136","2.31382","-","-8.05%"
"Jun 03, 2018","2.54881","2.49566","2.59180","2.49136","-","2.10%"
"Jun 02, 2018","2.49634","2.41615","2.58127","2.38169","-","3.40%"
"Jun 01, 2018","2.41422","2.39064","2.43181","2.34419","-","1.00%"
"May 31, 2018","2.39042","2.34876","2.43895","2.29438","-","1.77%"
"May 30, 2018","2.34880","2.37813","2.47132","2.25195","-","-1.36%"
"May 29, 2018","2.38114","2.17138","2.46316","2.10135","-","9.62%"
"May 28, 2018","2.17217","2.51288","2.54468","2.16680","-","-13.53%"
"May 27, 2018","2.51200","2.63664","2.63664","2.48468","-","-4.71%"
"May 26, 2018","2.63605","2.73482","2.74916","2.62104","-","-3.63%"
"May 25, 2018","2.73532","2.95383","2.95383","2.70625","-","-7.23%"
"May 24, 2018","2.94864","2.98442","3.38876","2.71402","-","-0.45%"
"May 23, 2018","2.96210","2.88601","3.11700","2.67869","-","2.34%"
"May 22, 2018","2.89437","2.97082","3.14241","2.88630","-","-2.57%"
"May 21, 2018","2.97082","3.09721","3.10515","2.93802","-","-4.08%"
"May 20, 2018","3.09721","3.03278","3.12255","2.99083","-","2.03%"
"May 19, 2018","3.03552","3.01805","3.19307","2.96270","-","0.55%"
"May 18, 2018","3.01883","2.72850","3.03266","2.66655","-","10.48%"
"May 17, 2018","2.73241","2.83631","3.01192","2.72909","-","-3.43%"
"May 16, 2018","2.82948","2.91030","2.95560","2.67556","-","-2.74%"
"May 15, 2018","2.90927","3.12621","3.25306","2.89054","-","-6.94%"
"May 14, 2018","3.12620","3.08574","3.27676","2.83191","-","1.31%"
"May 13, 2018","3.08574","2.76619","3.12019","2.70255","-","11.83%"
"May 12, 2018","2.75923","2.82204","2.91840","2.52124","-","-2.38%"
"May 11, 2018","2.82650","3.21568","3.24149","2.56527","-","-12.10%"
"May 10, 2018","3.21568","3.46700","3.51550","3.21027","-","-7.25%"
"May 09, 2018","3.46700","3.54985","3.56337","3.29436","-","-2.37%"
"May 08, 2018","3.55116","3.49359","3.63112","0.00037","-","-0.10%"
"May 07, 2018","3.55487","3.72472","3.72755","3.37970","-","-4.56%"
"May 06, 2018","3.72472","3.78613","3.80039","3.54860","-","-2.22%"
"May 05, 2018","3.80924","3.89341","4.02181","3.68028","-","-2.21%"
"May 04, 2018","3.89530","4.06953","4.07383","3.77789","-","-4.28%"
"May 03, 2018","4.06953","4.06751","4.13882","3.83041","-","0.05%"
"May 02, 2018","4.06751","3.91958","4.07013","3.79342","-","3.77%"
"May 01, 2018","3.91958","3.88653","3.93568","3.57496","-","0.85%"
"Apr 30, 2018","3.88653","4.21339","4.24544","3.82891","-","-7.76%"
"Apr 29, 2018","4.21339","4.37998","4.44131","3.92588","-","-3.80%"
"Apr 28, 2018","4.37998","4.23316","4.43958","4.11423","-","2.92%"
"Apr 27, 2018","4.25583","4.13320","4.57636","3.73901","-","2.97%"
"Apr 26, 2018","4.13320","4.18066","4.31617","3.41320","-","-1.14%"
"Apr 25, 2018","4.18066","3.48803","4.35566","3.00322","-","19.86%"
"Apr 24, 2018","3.48803","3.24455","3.55024","3.23508","-","7.50%"
"Apr 23, 2018","3.24455","3.03757","3.32225","3.00452","-","6.81%"
"Apr 22, 2018","3.03757","3.06627","3.14234","0.00000","-","-0.80%"
"Apr 21, 2018","3.06195","3.29479","3.29479","0.00000","-","-6.80%"
"Apr 20, 2018","3.28533","3.09181","3.29638","2.94290","-","6.26%"
"Apr 19, 2018","3.09181","3.03369","3.20824","2.86577","-","1.92%"
"Apr 18, 2018","3.03369","2.78681","3.06258","2.73418","-","8.86%"
"Apr 17, 2018","2.78681","2.67200","2.88344","2.59013","-","4.30%"
"Apr 16, 2018","2.67200","2.80453","2.85722","2.55100","-","-4.73%"
"Apr 15, 2018","2.80453","2.66455","2.80453","0.00000","-","5.27%"
"Apr 14, 2018","2.66414","2.70825","2.71611","0.00000","-","-1.65%"
"Apr 13, 2018","2.70891","2.77514","3.45337","2.60781","-","-2.39%"
"Apr 12, 2018","2.77514","1.95599","2.82436","1.92487","-","41.88%"
"Apr 11, 2018","1.95599","1.84415","2.01627","1.81876","-","6.06%"
"Apr 10, 2018","1.84415","1.81082","1.84959","1.75248","-","1.84%"
"Apr 09, 2018","1.81082","1.91351","2.12519","1.76471","-","-5.37%"
"Apr 08, 2018","1.91351","1.88379","1.93115","0.00000","-","2.84%"
"Apr 07, 2018","1.86060","0.00000","1.98247","0.00000","-","6.85%"
"Apr 06, 2018","1.74129","1.71144","1.93905","1.63567","-","1.74%"
"Apr 05, 2018","1.71144","1.86854","1.86997","0.00000","-","-8.41%"
"Apr 04, 2018","1.86854","2.01722","2.21557","1.77529","-","-7.37%"
"Apr 03, 2018","2.01722","1.66976","2.64868","1.59422","-","20.81%"
"Apr 02, 2018","1.66976","1.41848","1.66976","1.40526","-","17.71%"
"Apr 01, 2018","1.41848","1.50627","1.50627","0.00000","-","-5.83%"
"Mar 31, 2018","1.50627","1.52729","1.58405","0.00000","-","-1.38%"
"Mar 30, 2018","1.52736","1.64348","1.64359","0.00000","-","-7.07%"
"Mar 29, 2018","1.64348","1.89216","1.89504","1.60337","-","-13.14%"
"Mar 28, 2018","1.89216","1.69841","1.94609","1.67896","-","11.41%"
"Mar 27, 2018","1.69841","1.81333","1.83245","1.62184","-","-6.34%"
"Mar 26, 2018","1.81333","1.97099","1.98647","1.71622","-","-8.00%"
"Mar 25, 2018","1.97099","0.00000","2.04747","0.00000","-","1.70%"
"Mar 24, 2018","1.93812","1.99305","2.16757","0.00000","-","-2.69%"
"Mar 23, 2018","1.99168","2.08407","2.09816","1.86410","-","-4.43%"
"Mar 22, 2018","2.08407","2.16242","2.22504","1.95568","-","-3.62%"
"Mar 21, 2018","2.16242","2.16609","2.28054","2.13981","-","-0.17%"
"Mar 20, 2018","2.16609","2.03982","2.27074","1.95041","-","6.19%"
"Mar 19, 2018","2.03982","1.81176","2.03982","1.80821","-","12.59%"
"Mar 18, 2018","1.81176","1.80670","1.85072","0.00000","-","0.06%"
"Mar 17, 2018","1.81068","2.03622","2.03622","0.00000","-","-11.54%"
"Mar 16, 2018","2.04693","2.10743","2.16220","0.00000","-","-2.87%"
"Mar 15, 2018","2.10743","2.20228","2.22252","1.89643","-","-4.31%"
"Mar 14, 2018","2.20228","2.43765","2.67297","2.08799","-","-9.66%"
"Mar 13, 2018","2.43765","2.38901","2.54822","2.22099","-","2.04%"
"Mar 12, 2018","2.38901","2.50385","2.61130","2.31004","-","-4.59%"
"Mar 11, 2018","2.50385","2.35209","2.60088","0.00000","-","6.56%"
"Mar 10, 2018","2.34962","2.51871","2.58214","0.00000","-","-6.71%"
"Mar 09, 2018","2.51862","2.58322","2.63441","2.12630","-","-2.50%"
"Mar 08, 2018","2.58322","2.72317","2.90041","2.57638","-","-5.14%"
"Mar 07, 2018","2.72317","3.16626","3.25357","2.51308","-","-13.99%"
"Mar 06, 2018","3.16626","3.45451","3.45451","3.13847","-","-8.34%"
"Mar 05, 2018","3.45451","3.53636","3.66003","3.41919","-","-2.31%"
"Mar 04, 2018","3.53636","3.61977","3.61977","0.00000","-","-1.69%"
"Mar 03, 2018","3.59703","3.29743","3.62746","0.00000","-","8.76%"
"Mar 02, 2018","3.30719","3.40538","3.40538","3.15260","-","-2.88%"
"Mar 01, 2018","3.40538","3.19493","3.46041","3.08387","-","6.59%"
"Feb 28, 2018","3.19493","3.40241","3.48911","3.17343","-","-6.10%"
"Feb 27, 2018","3.40241","3.50918","3.54545","3.33502","-","-3.04%"
"Feb 26, 2018","3.50918","3.37825","3.50918","3.20746","-","3.88%"
"Feb 25, 2018","3.37825","3.27300","3.42041","3.19147","-","3.60%"
"Feb 24, 2018","3.26072","3.47454","3.54519","3.13915","-","-6.14%"
"Feb 23, 2018","3.47410","3.27009","3.63923","3.10853","-","6.11%"
"Feb 22, 2018","3.27415","3.51510","3.62145","3.10708","-","-6.75%"
"Feb 21, 2018","3.51101","3.86035","3.86035","3.44253","-","-9.33%"
"Feb 20, 2018","3.87215","4.36908","4.39377","3.79300","-","-11.18%"
"Feb 19, 2018","4.35954","4.06299","4.42903","3.96210","-","8.21%"
"Feb 18, 2018","4.02882","4.53382","4.57735","3.91658","-","-11.05%"
"Feb 17, 2018","4.52931","4.38526","4.54009","4.29884","-","2.83%"
"Feb 16, 2018","4.40476","4.34725","4.42715","4.10120","-","1.77%"
"Feb 15, 2018","4.32814","4.35805","4.46327","4.13577","-","-0.54%"
"Feb 14, 2018","4.35179","4.01482","4.37801","3.91209","-","9.12%"
"Feb 13, 2018","3.98800","4.11742","4.26978","3.80914","-","-2.52%"
"Feb 12, 2018","4.09100","3.85093","4.13214","3.80338","-","8.18%"
"Feb 11, 2018","3.78168","4.21314","4.22065","3.59573","-","-9.94%"
"Feb 10, 2018","4.19895","4.16331","4.77012","3.85299","-","1.02%"
"Feb 09, 2018","4.15639","3.81429","4.21245","3.67285","-","8.44%"
"Feb 08, 2018","3.83282","3.55099","3.93857","3.54532","-","8.18%"
"Feb 07, 2018","3.54307","3.79942","4.11140","3.41424","-","-7.11%"
"Feb 06, 2018","3.81433","3.22235","3.99096","2.60349","-","18.41%"
"Feb 05, 2018","3.22128","3.90970","4.18617","2.96674","-","-17.69%"
"Feb 04, 2018","3.91340","4.75148","4.75148","3.61214","-","-17.66%"
"Feb 03, 2018","4.75247","4.50658","4.82803","3.74916","-","6.27%"
"Feb 02, 2018","4.47218","4.88917","5.10436","3.33632","-","-8.57%"
"Feb 01, 2018","4.89155","5.02520","5.93149","4.47935","-","-2.67%"
"Jan 31, 2018","5.02572","4.54981","5.27967","4.04840","-","10.70%"
"Jan 30, 2018","4.53996","5.63054","5.63054","4.46535","-","-19.53%"
"Jan 29, 2018","5.64189","6.22649","6.22649","5.50272","-","-9.50%"
"Jan 28, 2018","6.23416","6.07357","6.23416","5.79492","-","2.32%"
"Jan 27, 2018","6.09265","6.18587","6.35640","5.77935","-","-1.75%"
"Jan 26, 2018","6.20098","6.45830","6.67960","5.31493","-","-4.08%"
"Jan 25, 2018","6.46478","6.26620","6.80972","5.65130","-","3.92%"
"Jan 24, 2018","6.22099","4.27498","6.22099","4.10569","-","45.45%"
"Jan 23, 2018","4.27695","4.37922","4.55003","3.82698","-","-2.08%"
"Jan 22, 2018","4.36785","4.97754","5.07599","3.82907","-","-10.54%"
"Jan 21, 2018","4.88229","5.50369","5.90430","4.54160","-","-11.29%"
"Jan 20, 2018","5.50369","4.76707","5.87398","4.67599","-","15.84%"
"Jan 19, 2018","4.75109","4.11366","5.37789","4.04971","-","15.69%"
"Jan 18, 2018","4.10660","4.07649","4.52058","3.67350","-","1.52%"
"Jan 17, 2018","4.04497","3.79210","4.19755","2.73873","-","6.27%"
"Jan 16, 2018","3.80623","5.46555","5.46555","2.99712","-","-30.01%"
"Jan 15, 2018","5.43813","5.79163","6.34929","5.39176","-","-6.26%"
"Jan 14, 2018","5.80106","6.19415","6.22743","5.29381","-","-6.39%"
"Jan 13, 2018","6.19706","5.36761","6.51387","5.35354","-","15.92%"
"Jan 12, 2018","5.34594","4.33969","5.79696","4.05758","-","22.94%"
