"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","2.7186","2.4205","2.7191","2.4205","1.59K","12.78%"
"Jun 29, 2018","2.4106","2.1782","2.4403","2.1467","4.80K","10.67%"
"Jun 28, 2018","2.1782","2.3807","2.4001","2.1505","0.77K","-8.51%"
"Jun 27, 2018","2.3807","2.3700","2.3807","2.2602","0.81K","0.45%"
"Jun 26, 2018","2.3700","2.4997","2.4997","2.3700","0.83K","-3.65%"
"Jun 25, 2018","2.4598","2.3785","2.4898","2.3276","0.55K","2.17%"
"Jun 24, 2018","2.4075","2.5908","2.5908","2.1732","3.11K","-7.07%"
"Jun 23, 2018","2.5908","2.6030","2.6489","2.4808","0.64K","-0.47%"
"Jun 22, 2018","2.6030","3.0309","3.0309","2.5922","2.14K","-14.07%"
"Jun 21, 2018","3.0291","3.0324","3.0889","2.9680","0.44K","-0.15%"
"Jun 20, 2018","3.0337","3.1642","3.1642","2.9781","0.68K","-3.84%"
"Jun 19, 2018","3.1547","3.1666","3.2161","3.1225","1.25K","-0.37%"
"Jun 18, 2018","3.1666","3.0801","3.2335","2.9851","2.29K","1.82%"
"Jun 17, 2018","3.1100","3.0441","3.1300","2.9905","1.39K","2.48%"
"Jun 16, 2018","3.0347","3.0370","3.1379","2.9940","0.43K","-1.01%"
"Jun 15, 2018","3.0656","3.3000","3.3000","3.0326","0.37K","-7.10%"
"Jun 14, 2018","3.3000","3.0540","3.4100","3.0400","0.99K","8.05%"
"Jun 13, 2018","3.0540","3.4045","3.4300","2.9304","0.75K","-10.26%"
"Jun 12, 2018","3.4030","3.5007","3.6337","3.3905","1.07K","-3.60%"
"Jun 11, 2018","3.5301","3.4448","3.5899","3.3934","1.39K","2.48%"
"Jun 10, 2018","3.4448","4.1199","4.1199","3.4443","1.38K","-16.58%"
"Jun 09, 2018","4.1295","4.2628","4.3302","4.1295","0.41K","-3.11%"
"Jun 08, 2018","4.2623","4.4346","4.4439","3.9676","0.27K","-4.05%"
"Jun 07, 2018","4.4424","4.4851","4.5389","4.4203","0.46K","-0.52%"
"Jun 06, 2018","4.4657","4.4800","4.5200","4.3302","0.50K","-0.32%"
"Jun 05, 2018","4.4800","4.3800","4.5400","4.2900","0.88K","2.28%"
"Jun 04, 2018","4.3800","4.7007","4.7208","4.3300","0.27K","-6.82%"
"Jun 03, 2018","4.7007","4.5513","4.7515","4.5509","1.05K","3.70%"
"Jun 02, 2018","4.5330","4.3907","4.6107","4.3807","0.91K","3.02%"
"Jun 01, 2018","4.4002","4.3887","4.4575","4.2753","0.43K","0.26%"
"May 31, 2018","4.3887","4.5475","4.5500","4.3300","0.51K","-3.49%"
"May 30, 2018","4.5475","4.5134","4.6243","4.2401","0.45K","0.54%"
"May 29, 2018","4.5233","4.2923","4.6146","4.1441","1.31K","5.38%"
"May 28, 2018","4.2923","4.7372","4.7977","4.2810","1.35K","-9.25%"
"May 27, 2018","4.7299","4.8747","4.8789","4.6958","0.50K","-2.78%"
"May 26, 2018","4.8651","5.0268","5.1286","4.8651","0.54K","-2.84%"
"May 25, 2018","5.0073","5.3067","5.3873","4.9389","1.65K","-5.98%"
"May 24, 2018","5.3260","5.3470","6.0894","5.0664","1.90K","-0.54%"
"May 23, 2018","5.3551","5.7315","5.9299","5.1776","0.63K","-6.57%"
"May 22, 2018","5.7315","5.7544","6.1561","5.7315","1.30K","-0.40%"
"May 21, 2018","5.7544","5.8709","5.9198","5.7050","0.97K","-1.98%"
"May 20, 2018","5.8709","5.7522","5.9471","5.7027","0.43K","2.06%"
"May 19, 2018","5.7522","5.8241","5.8614","5.7227","1.08K","-1.23%"
"May 18, 2018","5.8241","5.8344","5.8799","5.5610","0.91K","2.52%"
"May 17, 2018","5.6811","6.1900","6.3448","5.6811","0.43K","-8.23%"
"May 16, 2018","6.1905","5.8945","6.1905","5.6640","1.51K","4.67%"
"May 15, 2018","5.9143","6.2987","6.4900","5.8948","0.59K","-4.95%"
"May 14, 2018","6.2222","6.4901","6.4901","6.0359","1.79K","-4.13%"
"May 13, 2018","6.4901","6.0482","6.5902","5.9245","1.74K","6.79%"
"May 12, 2018","6.0776","5.7041","6.3511","5.5602","2.12K","6.55%"
"May 11, 2018","5.7041","6.5867","6.5867","5.6080","2.46K","-13.40%"
"May 10, 2018","6.5867","7.1195","7.2289","6.5867","2.32K","-7.48%"
"May 09, 2018","7.1195","7.5782","7.5782","6.9358","3.56K","-5.58%"
"May 08, 2018","7.5404","7.8167","7.8167","7.1408","1.02K","-0.08%"
"May 07, 2018","7.5461","7.9118","7.9603","7.1185","2.22K","-4.62%"
"May 06, 2018","7.9118","8.3202","8.3202","7.5974","1.00K","-4.38%"
"May 05, 2018","8.2741","8.0281","8.6170","7.9780","2.99K","3.18%"
"May 04, 2018","8.0190","7.7034","8.0190","7.2046","2.00K","4.10%"
"May 03, 2018","7.7034","7.6209","7.8990","7.4275","3.52K","1.08%"
"May 02, 2018","7.6209","7.2112","7.7380","7.1565","1.14K","5.68%"
"May 01, 2018","7.2112","6.7379","7.3334","6.4171","1.27K","7.02%"
"Apr 30, 2018","6.7379","7.1065","7.2675","6.6043","0.98K","-5.19%"
"Apr 29, 2018","7.1065","6.5149","7.4773","6.5056","5.63K","9.08%"
"Apr 28, 2018","6.5149","6.0380","6.5187","6.0283","1.81K","7.90%"
"Apr 27, 2018","6.0380","6.2724","6.4924","6.0253","1.41K","-3.74%"
"Apr 26, 2018","6.2724","5.8960","6.2724","5.7004","1.23K","6.38%"
"Apr 25, 2018","5.8960","6.6712","7.7048","5.6239","6.74K","-11.62%"
"Apr 24, 2018","6.6712","6.2491","7.8199","6.2491","3.73K","6.75%"
"Apr 23, 2018","6.2491","5.8791","6.9400","5.8791","7.76K","6.29%"
"Apr 22, 2018","5.8791","5.9000","6.1934","5.7411","4.40K","-0.35%"
"Apr 21, 2018","5.9000","6.1195","6.2359","5.5257","5.46K","-3.59%"
"Apr 20, 2018","6.1195","5.8939","6.1661","5.6315","4.95K","3.83%"
"Apr 19, 2018","5.8939","5.7445","5.9157","5.6390","4.75K","2.60%"
"Apr 18, 2018","5.7445","5.1263","5.7689","4.9826","4.21K","12.06%"
"Apr 17, 2018","5.1263","4.9606","5.3814","4.9319","3.89K","3.34%"
