"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.038121","0.037268","0.040005","0.037254","117.47M","2.29%"
"Jun 29, 2018","0.037268","0.036424","0.037721","0.034691","155.32M","2.31%"
"Jun 28, 2018","0.036424","0.039007","0.039764","0.036133","91.65M","-6.66%"
"Jun 27, 2018","0.039022","0.037937","0.039887","0.037277","136.49M","2.85%"
"Jun 26, 2018","0.037942","0.042095","0.042176","0.037854","137.12M","-9.87%"
"Jun 25, 2018","0.042095","0.042006","0.043520","0.040842","206.36M","0.21%"
"Jun 24, 2018","0.042006","0.043856","0.044141","0.037853","274.58M","-4.22%"
"Jun 23, 2018","0.043856","0.042704","0.044556","0.041972","250.50M","2.52%"
"Jun 22, 2018","0.042780","0.048816","0.049193","0.041379","315.30M","-12.35%"
"Jun 21, 2018","0.048809","0.048619","0.049760","0.047151","307.87M","0.40%"
"Jun 20, 2018","0.048616","0.049411","0.049563","0.045102","386.41M","-1.60%"
"Jun 19, 2018","0.049406","0.044727","0.051615","0.044220","362.10M","10.44%"
"Jun 18, 2018","0.044735","0.042184","0.045551","0.041075","261.31M","6.05%"
"Jun 17, 2018","0.042184","0.042922","0.043403","0.042087","271.46M","-1.72%"
"Jun 16, 2018","0.042922","0.042262","0.043393","0.041308","263.33M","1.55%"
"Jun 15, 2018","0.042267","0.045036","0.045745","0.041585","308.12M","-5.69%"
"Jun 14, 2018","0.044817","0.040892","0.045331","0.039995","364.53M","9.60%"
"Jun 13, 2018","0.040891","0.043203","0.043799","0.037821","316.94M","-5.36%"
"Jun 12, 2018","0.043209","0.048228","0.048461","0.041958","334.23M","-10.41%"
"Jun 11, 2018","0.048228","0.046857","0.048742","0.044869","349.92M","3.00%"
"Jun 10, 2018","0.046824","0.056824","0.056824","0.044582","371.60M","-17.60%"
"Jun 09, 2018","0.056823","0.057235","0.059181","0.056672","301.04M","-0.84%"
"Jun 08, 2018","0.057303","0.058776","0.058817","0.056266","282.59M","-2.51%"
"Jun 07, 2018","0.058776","0.058872","0.060259","0.058229","298.30M","-0.16%"
"Jun 06, 2018","0.058872","0.060073","0.060207","0.057818","282.79M","-2.00%"
"Jun 05, 2018","0.060070","0.058523","0.060708","0.056499","294.72M","2.62%"
"Jun 04, 2018","0.058539","0.061736","0.062338","0.057354","267.71M","-5.17%"
"Jun 03, 2018","0.061731","0.060631","0.062955","0.059926","302.42M","1.81%"
"Jun 02, 2018","0.060631","0.057965","0.063016","0.056980","290.95M","4.49%"
"Jun 01, 2018","0.058027","0.060013","0.061186","0.055852","228.83M","-3.31%"
"May 31, 2018","0.060013","0.061665","0.063650","0.058001","341.74M","-2.63%"
"May 30, 2018","0.061636","0.064085","0.067268","0.058750","326.30M","-3.82%"
"May 29, 2018","0.064083","0.059637","0.065422","0.056279","399.99M","7.45%"
"May 28, 2018","0.059638","0.070122","0.070389","0.059068","432.28M","-14.98%"
"May 27, 2018","0.070147","0.072498","0.072935","0.068593","343.05M","-3.25%"
"May 26, 2018","0.072502","0.070427","0.076194","0.069512","322.56M","2.94%"
"May 25, 2018","0.070428","0.072419","0.072725","0.068217","328.34M","-2.85%"
"May 24, 2018","0.072495","0.067777","0.073386","0.066712","478.65M","6.98%"
"May 23, 2018","0.067764","0.073316","0.075319","0.065018","467.79M","-7.57%"
"May 22, 2018","0.073316","0.080885","0.081971","0.072452","445.02M","-9.37%"
"May 21, 2018","0.080896","0.076722","0.084337","0.076719","547.43M","5.44%"
"May 20, 2018","0.076725","0.068933","0.078204","0.067928","421.46M","11.30%"
"May 19, 2018","0.068933","0.068974","0.070492","0.067049","328.09M","0.05%"
"May 18, 2018","0.068900","0.066769","0.069132","0.064290","341.74M","3.19%"
"May 17, 2018","0.066772","0.070969","0.073161","0.065164","314.01M","-6.01%"
"May 16, 2018","0.071045","0.067617","0.071750","0.062497","400.87M","5.07%"
"May 15, 2018","0.067617","0.070882","0.072602","0.066672","334.22M","-4.50%"
"May 14, 2018","0.070805","0.073673","0.074001","0.067996","342.81M","-3.89%"
"May 13, 2018","0.073673","0.067513","0.075899","0.065990","343.19M","9.89%"
"May 12, 2018","0.067042","0.064647","0.070565","0.058163","461.05M","3.72%"
"May 11, 2018","0.064637","0.072529","0.076528","0.062665","509.13M","-10.88%"
"May 10, 2018","0.072529","0.080427","0.081701","0.072429","299.96M","-9.82%"
"May 09, 2018","0.080428","0.082509","0.082580","0.078162","275.41M","-2.79%"
"May 08, 2018","0.082735","0.083794","0.084716","0.079640","261.51M","-0.87%"
"May 07, 2018","0.083464","0.084431","0.084697","0.078384","323.82M","-1.16%"
"May 06, 2018","0.084440","0.087036","0.087036","0.080897","356.59M","-2.88%"
"May 05, 2018","0.086945","0.086151","0.091029","0.085524","306.74M","0.95%"
"May 04, 2018","0.086128","0.086692","0.088684","0.080243","383.08M","-0.64%"
"May 03, 2018","0.086681","0.091649","0.091700","0.083825","361.51M","-5.39%"
"May 02, 2018","0.091623","0.092611","0.092775","0.089327","238.85M","-1.07%"
"May 01, 2018","0.092611","0.092861","0.093870","0.084160","552.97M","-0.43%"
"Apr 30, 2018","0.093007","0.088416","0.101038","0.084295","767.68M","5.19%"
"Apr 29, 2018","0.088416","0.081740","0.089826","0.080538","659.58M","8.17%"
"Apr 28, 2018","0.081740","0.073415","0.084690","0.072978","492.37M","11.35%"
"Apr 27, 2018","0.073412","0.073600","0.080296","0.071358","556.26M","-0.34%"
"Apr 26, 2018","0.073666","0.070094","0.073819","0.066429","525.67M","4.89%"
"Apr 25, 2018","0.070228","0.072591","0.080255","0.064272","1.18B","-3.26%"
"Apr 24, 2018","0.072591","0.058502","0.077368","0.057113","761.20M","24.08%"
"Apr 23, 2018","0.058502","0.052163","0.058554","0.051896","497.32M","12.16%"
"Apr 22, 2018","0.052161","0.053036","0.054709","0.051224","392.99M","-1.52%"
"Apr 21, 2018","0.052969","0.053738","0.056513","0.048939","512.49M","-1.54%"
"Apr 20, 2018","0.053798","0.049095","0.053902","0.047309","385.50M","9.14%"
"Apr 19, 2018","0.049293","0.047307","0.051538","0.046820","236.92M","4.22%"
"Apr 18, 2018","0.047296","0.042005","0.047394","0.041979","184.06M","12.59%"
"Apr 17, 2018","0.042007","0.041281","0.043708","0.040849","148.67M","1.76%"
"Apr 16, 2018","0.041281","0.043359","0.044298","0.040042","163.64M","-4.75%"
"Apr 15, 2018","0.043341","0.040260","0.043788","0.040243","161.95M","7.65%"
"Apr 14, 2018","0.040261","0.038968","0.041465","0.038497","155.87M","3.32%"
"Apr 13, 2018","0.038968","0.040441","0.043941","0.038475","280.03M","-3.80%"
"Apr 12, 2018","0.040508","0.036292","0.040777","0.035175","204.51M","11.63%"
"Apr 11, 2018","0.036289","0.036882","0.037479","0.036159","82.42M","-1.60%"
"Apr 10, 2018","0.036878","0.035691","0.037297","0.035049","75.39M","3.33%"
"Apr 09, 2018","0.035691","0.037615","0.038350","0.034347","85.52M","-5.03%"
"Apr 08, 2018","0.037580","0.037047","0.038711","0.036679","72.93M","1.44%"
"Apr 07, 2018","0.037047","0.036526","0.038249","0.036263","106.77M","1.43%"
"Apr 06, 2018","0.036526","0.039683","0.043740","0.035683","112.24M","-7.96%"
"Apr 05, 2018","0.039687","0.030297","0.045250","0.029154","278.23M","31.09%"
"Apr 04, 2018","0.030274","0.035048","0.035189","0.029881","90.93M","-13.45%"
"Apr 03, 2018","0.034977","0.035546","0.035779","0.033245","70.99M","-1.52%"
"Apr 02, 2018","0.035517","0.032225","0.035569","0.031057","80.98M","10.22%"
"Apr 01, 2018","0.032224","0.033857","0.034734","0.028590","104.89M","-4.81%"
"Mar 31, 2018","0.033853","0.042206","0.043697","0.033533","159.33M","-19.79%"
"Mar 30, 2018","0.042206","0.043575","0.046660","0.039943","123.54M","-3.14%"
"Mar 29, 2018","0.043575","0.048850","0.050928","0.043532","95.32M","-10.80%"
"Mar 28, 2018","0.048850","0.043244","0.049656","0.042736","42.42M","12.96%"
"Mar 27, 2018","0.043244","0.045235","0.047031","0.040448","47.32M","-4.42%"
"Mar 26, 2018","0.045244","0.046037","0.046531","0.039382","58.29M","-1.72%"
"Mar 25, 2018","0.046037","0.049199","0.049934","0.045329","48.26M","-6.72%"
"Mar 24, 2018","0.049354","0.041197","0.052702","0.040762","145.27M","19.80%"
"Mar 23, 2018","0.041196","0.037559","0.041269","0.035453","94.03M","9.70%"
"Mar 22, 2018","0.037553","0.036954","0.038927","0.034345","105.39M","1.56%"
"Mar 21, 2018","0.036975","0.038094","0.040097","0.036329","116.09M","-2.94%"
"Mar 20, 2018","0.038094","0.031886","0.040457","0.031774","82.44M","19.47%"
"Mar 19, 2018","0.031886","0.028910","0.033170","0.028426","128.94M","10.28%"
"Mar 18, 2018","0.028914","0.028328","0.030017","0.023184","134.60M","2.07%"
"Mar 17, 2018","0.028328","0.030602","0.030637","0.028001","130.46M","-7.43%"
"Mar 16, 2018","0.030602","0.030353","0.031150","0.029346","136.38M","0.83%"
"Mar 15, 2018","0.030350","0.031086","0.031131","0.028755","134.74M","-2.23%"
"Mar 14, 2018","0.031042","0.035843","0.036256","0.030403","138.97M","-13.40%"
"Mar 13, 2018","0.035843","0.036567","0.037168","0.034829","116.03M","-1.87%"
"Mar 12, 2018","0.036526","0.038443","0.039553","0.035113","19.80M","-4.99%"
"Mar 11, 2018","0.038444","0.034808","0.038925","0.033719","98.69M","10.44%"
"Mar 10, 2018","0.034808","0.037305","0.037942","0.034224","136.64M","-6.88%"
"Mar 09, 2018","0.037380","0.036827","0.037487","0.032167","115.99M","1.50%"
"Mar 08, 2018","0.036827","0.038763","0.040282","0.035811","148.17M","-5.00%"
"Mar 07, 2018","0.038764","0.044210","0.045020","0.035793","152.79M","-12.32%"
"Mar 06, 2018","0.044210","0.046782","0.047829","0.043953","133.36M","-5.40%"
"Mar 05, 2018","0.046733","0.047959","0.048100","0.046714","137.21M","-2.56%"
"Mar 04, 2018","0.047959","0.049281","0.049831","0.047095","131.22M","-2.66%"
"Mar 03, 2018","0.049268","0.052835","0.053010","0.048053","150.10M","-6.75%"
"Mar 02, 2018","0.052835","0.049053","0.057131","0.047708","192.41M","7.70%"
"Mar 01, 2018","0.049059","0.043574","0.049511","0.042824","145.07M","12.93%"
"Feb 28, 2018","0.043443","0.042650","0.046788","0.040679","144.02M","1.19%"
"Feb 27, 2018","0.042931","0.041689","0.043243","0.041011","129.22M","3.02%"
"Feb 26, 2018","0.041671","0.039979","0.042796","0.038812","76.59M","4.23%"
"Feb 25, 2018","0.039979","0.040514","0.041330","0.039114","126.34M","-1.32%"
"Feb 24, 2018","0.040515","0.042448","0.045152","0.039492","134.78M","-4.56%"
"Feb 23, 2018","0.042450","0.040389","0.043629","0.039072","139.64M","5.06%"
"Feb 22, 2018","0.040406","0.044097","0.045955","0.039527","139.90M","-8.37%"
"Feb 21, 2018","0.044097","0.046764","0.047979","0.042902","154.68M","-5.70%"
"Feb 20, 2018","0.046760","0.051726","0.052234","0.046515","133.12M","-9.60%"
"Feb 19, 2018","0.051728","0.050002","0.052727","0.049727","132.20M","3.41%"
"Feb 18, 2018","0.050024","0.054616","0.055456","0.047993","168.92M","-8.30%"
