"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","49.275","47.343","50.767","46.174","0.10K","4.66%"
"Jun 29, 2018","47.079","46.553","47.079","40.000","0.10K","4.96%"
"Jun 28, 2018","44.853","47.783","49.167","44.800","0.06K","-6.13%"
"Jun 27, 2018","47.783","45.596","49.913","43.000","0.15K","4.55%"
"Jun 26, 2018","45.703","54.013","54.013","44.000","0.28K","-16.01%"
"Jun 25, 2018","54.417","51.854","54.615","48.130","0.03K","4.94%"
"Jun 24, 2018","51.854","55.282","56.627","47.596","0.16K","-6.20%"
"Jun 23, 2018","55.282","54.079","60.000","52.417","0.18K","2.18%"
"Jun 22, 2018","54.100","62.975","62.975","52.000","0.84K","-14.09%"
"Jun 21, 2018","62.975","69.650","69.692","60.000","0.14K","-9.70%"
"Jun 20, 2018","69.742","63.853","69.805","52.185","0.62K","11.07%"
"Jun 19, 2018","62.790","67.327","68.184","61.120","0.10K","-6.28%"
"Jun 18, 2018","67.000","67.390","67.390","63.251","0.07K","6.34%"
"Jun 17, 2018","63.007","66.540","69.486","63.007","0.06K","-5.31%"
"Jun 16, 2018","66.540","66.250","70.222","65.330","0.18K","0.44%"
"Jun 15, 2018","66.250","72.000","73.013","66.250","0.12K","-6.70%"
"Jun 14, 2018","71.011","67.569","71.011","63.641","0.20K","5.09%"
"Jun 13, 2018","67.569","69.580","70.692","63.640","0.17K","-2.89%"
"Jun 12, 2018","69.580","73.334","75.853","67.957","0.16K","-5.12%"
"Jun 11, 2018","73.334","80.000","86.534","69.497","0.54K","-8.33%"
"Jun 10, 2018","80.000","72.625","80.000","66.341","0.69K","9.59%"
"Jun 09, 2018","73.000","78.469","82.879","73.000","0.19K","-6.97%"
"Jun 08, 2018","78.469","80.200","80.822","70.694","0.28K","-2.16%"
"Jun 07, 2018","80.200","88.629","89.944","74.793","0.27K","-6.80%"
"Jun 06, 2018","86.054","85.954","94.004","83.655","0.14K","0.12%"
"Jun 05, 2018","85.954","81.905","95.238","81.905","0.31K","2.07%"
"Jun 04, 2018","84.215","91.185","97.717","80.913","0.47K","-7.64%"
"Jun 03, 2018","91.185","102.973","106.330","91.185","0.24K","-9.10%"
"Jun 02, 2018","100.317","89.750","102.911","89.750","0.30K","11.77%"
"Jun 01, 2018","89.750","85.499","90.000","83.772","0.50K","4.97%"
"May 31, 2018","85.499","80.518","92.845","40.259","0.40K","6.19%"
"May 30, 2018","80.518","79.752","88.900","76.785","0.11K","0.96%"
"May 29, 2018","79.752","77.202","87.000","72.000","0.34K","0.18%"
"May 28, 2018","79.608","92.000","92.000","76.859","0.61K","-13.47%"
"May 27, 2018","92.000","98.157","99.995","80.000","0.83K","-6.16%"
"May 26, 2018","98.034","75.435","98.157","75.435","0.49K","29.96%"
"May 25, 2018","75.435","77.119","80.000","73.000","0.14K","1.94%"
"May 24, 2018","73.998","72.357","79.363","66.863","0.54K","4.22%"
"May 23, 2018","71.000","78.943","79.705","64.000","1.47K","-10.06%"
"May 22, 2018","78.943","86.000","86.000","78.884","0.40K","-8.21%"
"May 21, 2018","86.000","90.205","92.772","83.933","0.15K","-4.66%"
"May 20, 2018","90.205","85.835","97.500","85.835","0.12K","5.09%"
"May 19, 2018","85.835","90.565","101.958","85.835","0.23K","-5.22%"
"May 18, 2018","90.565","95.452","95.452","86.792","0.15K","-5.12%"
"May 17, 2018","95.452","102.400","107.980","90.354","0.21K","-4.55%"
"May 16, 2018","100.004","95.000","103.583","85.332","0.18K","3.73%"
"May 15, 2018","96.407","90.633","97.215","86.215","0.09K","6.37%"
"May 14, 2018","90.633","99.754","99.754","87.027","0.39K","-9.14%"
"May 13, 2018","99.754","85.178","100.000","84.376","0.82K","15.26%"
"May 12, 2018","86.550","88.246","89.357","83.000","0.73K","-1.92%"
"May 11, 2018","88.246","103.642","103.642","84.069","0.44K","-14.85%"
"May 10, 2018","103.642","101.121","108.000","96.624","0.31K","2.49%"
"May 09, 2018","101.121","102.446","103.459","93.000","0.30K","-1.29%"
"May 08, 2018","102.446","103.076","107.815","90.058","0.31K","-2.22%"
"May 07, 2018","104.776","118.935","118.935","95.400","0.35K","-11.90%"
"May 06, 2018","118.935","121.892","122.987","110.000","0.18K","-2.43%"
"May 05, 2018","121.892","120.000","139.039","119.281","0.08K","1.58%"
"May 04, 2018","120.000","142.309","142.309","120.000","0.07K","-15.68%"
"May 03, 2018","142.309","122.105","148.481","116.165","0.31K","16.55%"
"May 02, 2018","122.105","103.416","122.105","102.238","0.26K","18.07%"
"May 01, 2018","103.416","103.588","111.374","99.066","0.49K","-0.17%"
"Apr 30, 2018","103.588","106.625","110.000","100.000","0.22K","-2.85%"
"Apr 29, 2018","106.625","98.711","114.000","97.877","0.46K","8.02%"
"Apr 28, 2018","98.711","97.985","109.773","97.089","2.51K","0.74%"
"Apr 27, 2018","97.985","123.403","123.403","97.640","0.75K","-20.60%"
"Apr 26, 2018","123.403","109.049","123.494","104.000","0.18K","13.16%"
"Apr 25, 2018","109.049","126.725","131.980","106.861","0.41K","-13.95%"
"Apr 24, 2018","126.725","126.000","135.000","123.074","0.16K","0.58%"
"Apr 23, 2018","126.000","132.821","154.627","119.738","0.26K","-5.14%"
"Apr 22, 2018","132.821","122.611","136.708","116.262","0.11K","8.33%"
"Apr 21, 2018","122.611","124.344","125.379","118.506","0.14K","-1.39%"
"Apr 20, 2018","124.344","117.465","126.000","117.447","0.22K","5.86%"
"Apr 19, 2018","117.465","109.800","120.319","109.800","0.12K","6.98%"
"Apr 18, 2018","109.800","105.878","114.165","104.795","0.05K","3.70%"
"Apr 17, 2018","105.878","104.529","120.808","101.897","0.22K","1.29%"
