"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","2.5933","2.5638","2.7322","2.5454","73.06K","1.19%"
"Jun 29, 2018","2.5629","2.3737","2.6057","2.3567","37.39K","7.97%"
"Jun 28, 2018","2.3737","2.6457","2.6522","2.3526","31.04K","-10.28%"
"Jun 27, 2018","2.6457","2.5016","2.6562","2.4689","42.89K","5.75%"
"Jun 26, 2018","2.5019","2.7210","2.8318","2.4728","68.16K","-8.05%"
"Jun 25, 2018","2.7210","2.4677","2.7505","2.4479","52.38K","10.26%"
"Jun 24, 2018","2.4677","2.7927","2.7974","2.2451","97.50K","-11.64%"
"Jun 23, 2018","2.7927","2.7627","2.8476","2.7331","35.33K","1.09%"
"Jun 22, 2018","2.7627","3.1580","3.1757","2.7134","116.36K","-12.52%"
"Jun 21, 2018","3.1580","3.1336","3.2201","3.1227","53.56K","0.78%"
"Jun 20, 2018","3.1336","3.1896","3.2180","3.0450","42.71K","-1.77%"
"Jun 19, 2018","3.1901","3.2478","3.3224","3.1805","43.42K","-1.78%"
"Jun 18, 2018","3.2478","3.0363","3.2716","2.9842","49.70K","6.97%"
"Jun 17, 2018","3.0363","2.9512","3.2273","2.9208","78.51K","2.88%"
"Jun 16, 2018","2.9512","2.8449","2.9593","2.8166","28.33K","3.74%"
"Jun 15, 2018","2.8449","3.0081","3.0765","2.8287","38.63K","-5.43%"
"Jun 14, 2018","3.0081","2.8274","3.0311","2.7118","67.31K","6.40%"
"Jun 13, 2018","2.8273","3.0232","3.0277","2.6545","99.22K","-6.48%"
"Jun 12, 2018","3.0232","3.3829","3.3839","2.9701","90.11K","-10.63%"
"Jun 11, 2018","3.3829","3.2941","3.3970","3.0850","77.97K","2.70%"
"Jun 10, 2018","3.2941","3.8750","3.8766","3.1738","91.84K","-14.99%"
"Jun 09, 2018","3.8750","4.0128","4.0330","3.8748","35.52K","-3.44%"
"Jun 08, 2018","4.0129","4.0911","4.1268","3.8956","56.53K","-1.92%"
"Jun 07, 2018","4.0913","4.0854","4.1924","4.0472","72.98K","0.14%"
"Jun 06, 2018","4.0854","4.0495","4.1373","3.9689","50.23K","0.89%"
"Jun 05, 2018","4.0496","3.8661","4.0965","3.7363","77.43K","4.75%"
"Jun 04, 2018","3.8661","4.0573","4.1775","3.7131","121.37K","-4.71%"
"Jun 03, 2018","4.0573","3.6814","4.0786","3.6412","115.99K","10.21%"
"Jun 02, 2018","3.6814","3.4370","3.7520","3.4207","71.61K","7.11%"
"Jun 01, 2018","3.4370","3.4217","3.4762","3.3265","72.44K","0.45%"
"May 31, 2018","3.4218","3.4551","3.4893","3.2867","61.25K","-0.96%"
"May 30, 2018","3.4549","3.4295","3.5826","3.2363","85.27K","0.78%"
"May 29, 2018","3.4281","3.1013","3.5036","3.0531","58.17K","10.54%"
"May 28, 2018","3.1013","3.4996","3.5717","3.0945","91.01K","-11.38%"
"May 27, 2018","3.4996","3.5527","3.5527","3.4359","80.83K","-1.50%"
"May 26, 2018","3.5527","3.5394","3.6629","3.5230","54.48K","0.38%"
"May 25, 2018","3.5394","3.7629","3.7830","3.5035","73.25K","-5.92%"
"May 24, 2018","3.7623","3.4932","3.7827","3.3909","74.48K","7.68%"
"May 23, 2018","3.4939","3.9314","4.0291","3.4070","98.34K","-11.17%"
"May 22, 2018","3.9334","4.3606","4.4252","3.9334","73.15K","-9.89%"
"May 21, 2018","4.3649","4.4623","4.4838","4.2880","61.24K","-2.15%"
"May 20, 2018","4.4606","4.2595","4.5530","4.2418","53.68K","4.72%"
"May 19, 2018","4.2595","4.3820","4.4115","4.2380","43.10K","-2.80%"
"May 18, 2018","4.3820","4.1022","4.4716","4.0196","85.79K","6.78%"
"May 17, 2018","4.1038","4.5369","4.7135","4.0888","96.67K","-9.55%"
"May 16, 2018","4.5369","4.7010","4.7567","4.4390","103.28K","-3.51%"
"May 15, 2018","4.7017","5.0576","5.1981","4.7017","120.75K","-7.04%"
"May 14, 2018","5.0576","4.7927","5.1928","4.5033","110.34K","5.53%"
"May 13, 2018","4.7927","4.5225","4.9188","4.3659","67.07K","5.88%"
"May 12, 2018","4.5265","4.4348","4.7610","3.9078","136.14K","2.07%"
"May 11, 2018","4.4348","4.9571","5.0691","4.3213","153.49K","-10.54%"
"May 10, 2018","4.9571","4.9067","5.4812","4.8283","198.19K","1.03%"
"May 09, 2018","4.9066","4.9857","5.0167","4.6618","114.51K","-1.54%"
"May 08, 2018","4.9832","5.0293","5.0709","4.6738","119.75K","0.39%"
"May 07, 2018","4.9640","4.9880","5.0291","4.5322","187.62K","-0.48%"
"May 06, 2018","4.9880","5.1930","5.2307","4.7183","208.95K","-3.95%"
"May 05, 2018","5.1929","5.4080","5.5344","5.1639","157.33K","-3.98%"
"May 04, 2018","5.4080","5.2650","5.5858","4.9748","264.98K","2.71%"
"May 03, 2018","5.2652","4.9025","5.7132","4.8425","530.64K","8.98%"
"May 02, 2018","4.8315","4.5546","5.0418","4.5093","248.53K","6.08%"
"May 01, 2018","4.5546","4.5581","4.5901","4.1596","161.21K","-0.08%"
"Apr 30, 2018","4.5581","4.8862","4.8893","4.3426","328.16K","-6.71%"
"Apr 29, 2018","4.8862","4.3998","5.1691","4.1559","683.88K","11.05%"
"Apr 28, 2018","4.3998","3.8164","4.6348","3.7946","310.91K","15.29%"
"Apr 27, 2018","3.8164","3.9685","4.0588","3.8157","134.37K","-3.83%"
"Apr 26, 2018","3.9685","3.6084","3.9685","3.5147","148.37K","9.98%"
"Apr 25, 2018","3.6084","4.2686","4.2686","3.5916","166.23K","-15.49%"
"Apr 24, 2018","4.2699","3.8850","4.2699","3.8799","206.57K","9.91%"
"Apr 23, 2018","3.8850","3.8867","4.0092","3.7750","87.99K","-0.04%"
"Apr 22, 2018","3.8867","3.8470","4.0351","3.7608","111.35K","1.03%"
"Apr 21, 2018","3.8470","4.0195","4.0461","3.5917","134.02K","-4.29%"
"Apr 20, 2018","4.0195","3.7374","4.0236","3.0150","110.48K","7.55%"
"Apr 19, 2018","3.7374","3.5750","3.7590","3.5735","92.26K","4.54%"
"Apr 18, 2018","3.5752","3.3382","3.6248","3.2891","73.54K","7.10%"
"Apr 17, 2018","3.3382","3.3242","3.4402","3.3109","56.50K","0.58%"
"Apr 16, 2018","3.3191","3.5761","3.6081","3.2508","68.97K","-7.19%"
"Apr 15, 2018","3.5761","3.3277","3.5770","3.3206","51.08K","7.47%"
"Apr 14, 2018","3.3277","3.3015","3.4176","3.1355","101.62K","0.79%"
