"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","2.9159","2.6423","3.0497","2.6259","30.51K","10.35%"
"Jun 29, 2018","2.6423","2.5734","2.6612","2.4646","28.13K","2.68%"
"Jun 28, 2018","2.5734","2.8020","2.8130","2.5623","25.68K","-8.16%"
"Jun 27, 2018","2.8020","2.5803","2.8660","2.4898","31.80K","8.59%"
"Jun 26, 2018","2.5803","2.7866","2.7866","2.5803","28.05K","-7.40%"
"Jun 25, 2018","2.7866","2.7234","2.8110","2.6528","28.35K","2.30%"
"Jun 24, 2018","2.7239","2.9426","2.9590","2.4901","25.14K","-7.43%"
"Jun 23, 2018","2.9426","2.9799","2.9958","2.8674","13.68K","-1.25%"
"Jun 22, 2018","2.9798","3.5757","3.5757","2.9494","25.34K","-16.66%"
"Jun 21, 2018","3.5756","3.6634","3.8386","3.5223","27.99K","-2.40%"
"Jun 20, 2018","3.6634","3.6097","3.6634","3.4160","9.03K","1.49%"
"Jun 19, 2018","3.6096","3.6682","3.6763","3.5862","12.12K","-1.60%"
"Jun 18, 2018","3.6682","3.4174","3.6900","3.3986","14.97K","7.22%"
"Jun 17, 2018","3.4212","3.3815","3.4598","3.3648","11.13K","1.17%"
"Jun 16, 2018","3.3815","3.3430","3.4190","3.2985","26.58K","1.15%"
"Jun 15, 2018","3.3430","3.5439","3.6380","3.3285","27.90K","-5.66%"
"Jun 14, 2018","3.5437","3.3177","3.6125","3.2136","38.92K","6.82%"
"Jun 13, 2018","3.3176","3.5124","3.8464","3.3016","39.34K","-5.55%"
"Jun 12, 2018","3.5125","3.8073","3.9635","3.4950","37.91K","-7.74%"
"Jun 11, 2018","3.8073","3.8134","3.9741","3.6794","28.47K","-0.16%"
"Jun 10, 2018","3.8134","4.4233","4.4233","3.7984","40.63K","-13.79%"
"Jun 09, 2018","4.4234","4.6318","4.7380","4.4222","33.60K","-4.50%"
"Jun 08, 2018","4.6318","4.5216","4.9431","4.5216","41.73K","2.44%"
"Jun 07, 2018","4.5216","4.3395","4.5430","4.2977","29.24K","4.20%"
"Jun 06, 2018","4.3395","4.3168","4.3551","4.2698","28.71K","0.53%"
"Jun 05, 2018","4.3168","4.1476","4.3561","4.0658","28.09K","4.08%"
"Jun 04, 2018","4.1475","4.3793","4.4211","4.0970","33.31K","-5.33%"
"Jun 03, 2018","4.3811","4.3371","4.4732","4.3071","35.31K","1.02%"
"Jun 02, 2018","4.3370","4.1236","4.3809","4.1084","29.65K","5.18%"
"Jun 01, 2018","4.1236","4.2241","4.2355","4.0548","28.29K","-2.38%"
"May 31, 2018","4.2240","4.0317","4.3594","3.9762","32.63K","4.77%"
"May 30, 2018","4.0317","4.2795","4.6249","4.0089","28.50K","-5.79%"
"May 29, 2018","4.2794","3.8975","4.3221","3.8759","21.22K","9.80%"
"May 28, 2018","3.8974","4.2408","4.2656","3.8909","24.45K","-8.35%"
"May 27, 2018","4.2524","4.4637","4.4778","4.2384","23.71K","-4.74%"
"May 26, 2018","4.4638","4.4871","4.5869","4.4501","15.83K","-0.52%"
"May 25, 2018","4.4871","4.7659","4.8137","4.4716","21.37K","-5.85%"
"May 24, 2018","4.7658","4.6234","4.8497","4.3964","23.12K","3.02%"
"May 23, 2018","4.6261","5.2790","5.3002","4.5433","27.86K","-12.58%"
"May 22, 2018","5.2917","5.7529","5.7529","5.2553","20.78K","-8.02%"
"May 21, 2018","5.7529","6.0270","6.0503","5.7246","19.99K","-4.55%"
"May 20, 2018","6.0270","5.9139","6.0637","5.8867","19.46K","1.91%"
"May 19, 2018","5.9139","6.1011","6.1025","5.8528","20.29K","-3.07%"
"May 18, 2018","6.1010","5.8021","6.1174","5.6770","25.80K","5.15%"
"May 17, 2018","5.8021","6.1775","6.2149","5.7688","24.02K","-6.08%"
"May 16, 2018","6.1775","6.1856","6.3557","5.8611","25.66K","-0.13%"
"May 15, 2018","6.1856","6.6245","6.8096","6.1640","27.06K","-6.62%"
"May 14, 2018","6.6244","6.6372","6.8074","6.2103","29.13K","-0.19%"
"May 13, 2018","6.6372","6.2058","6.7360","6.0895","23.12K","7.11%"
"May 12, 2018","6.1965","6.0129","6.3062","5.8519","26.93K","3.05%"
"May 11, 2018","6.0129","6.5127","6.5167","5.7957","33.75K","-7.67%"
"May 10, 2018","6.5127","6.6476","6.7970","6.5080","26.30K","-2.12%"
"May 09, 2018","6.6537","6.4941","6.6719","6.0482","37.80K","2.08%"
"May 08, 2018","6.5180","6.7465","6.7891","6.3902","27.99K","-2.66%"
"May 07, 2018","6.6963","6.9400","6.9400","6.4070","26.20K","-3.51%"
"May 06, 2018","6.9400","7.2946","7.3476","6.7759","29.40K","-4.86%"
"May 05, 2018","7.2946","7.6921","7.7187","7.2946","27.70K","-5.17%"
"May 04, 2018","7.6921","7.8229","7.8229","7.4736","28.51K","-1.67%"
"May 03, 2018","7.8229","7.4639","7.9093","7.2143","36.76K","4.81%"
"May 02, 2018","7.4640","6.8672","7.4863","6.7027","30.72K","8.69%"
"May 01, 2018","6.8672","6.7359","6.8731","6.3316","30.67K","1.95%"
"Apr 30, 2018","6.7359","7.1427","7.2309","6.4484","38.02K","-5.70%"
"Apr 29, 2018","7.1427","6.4531","8.5532","6.4233","83.18K","10.69%"
