"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.11421","0.09612","0.12767","0.09063","827.80K","18.82%"
"Jun 29, 2018","0.09612","0.09525","0.09615","0.08048","414.99K","1.39%"
"Jun 28, 2018","0.09481","0.09890","0.11057","0.08105","558.33K","-4.03%"
"Jun 27, 2018","0.09878","0.10494","0.10716","0.09499","167.96K","-5.86%"
"Jun 26, 2018","0.10494","0.12073","0.12282","0.10467","170.25K","-13.57%"
"Jun 25, 2018","0.12141","0.13205","0.13368","0.11038","272.16K","-8.06%"
"Jun 24, 2018","0.13205","0.11181","0.13205","0.10493","82.21K","18.15%"
"Jun 23, 2018","0.11176","0.11862","0.12101","0.11167","50.84K","-5.87%"
"Jun 22, 2018","0.11873","0.12983","0.13253","0.11261","351.33K","-9.80%"
"Jun 21, 2018","0.13164","0.12150","0.14431","0.12051","282.04K","8.87%"
"Jun 20, 2018","0.12091","0.12566","0.12566","0.11432","176.28K","-3.78%"
"Jun 19, 2018","0.12566","0.11788","0.12913","0.11788","53.12K","6.60%"
"Jun 18, 2018","0.11788","0.11894","0.12105","0.11186","105.40K","-0.85%"
"Jun 17, 2018","0.11889","0.12210","0.12698","0.11819","70.83K","-2.66%"
"Jun 16, 2018","0.12213","0.12307","0.12308","0.12057","15.99K","-0.76%"
"Jun 15, 2018","0.12307","0.12700","0.12919","0.12307","48.23K","-3.12%"
"Jun 14, 2018","0.12703","0.12207","0.13229","0.12207","168.50K","4.91%"
"Jun 13, 2018","0.12109","0.13285","0.13909","0.11967","138.68K","-8.85%"
"Jun 12, 2018","0.13284","0.14652","0.14969","0.13284","105.10K","-9.34%"
"Jun 11, 2018","0.14652","0.14356","0.14945","0.13653","117.55K","2.17%"
"Jun 10, 2018","0.14341","0.17102","0.18691","0.13439","164.65K","-16.00%"
"Jun 09, 2018","0.17072","0.17602","0.18039","0.17072","45.58K","-3.08%"
"Jun 08, 2018","0.17615","0.18429","0.19168","0.17129","48.59K","-4.41%"
"Jun 07, 2018","0.18429","0.18348","0.19157","0.18188","45.26K","0.44%"
"Jun 06, 2018","0.18348","0.19058","0.19262","0.18104","39.25K","-3.73%"
"Jun 05, 2018","0.19058","0.18203","0.19207","0.17803","37.05K","4.70%"
"Jun 04, 2018","0.18203","0.19765","0.20456","0.15626","147.70K","-6.41%"
"Jun 03, 2018","0.19451","0.20029","0.20830","0.18697","93.11K","-2.89%"
"Jun 02, 2018","0.20029","0.18679","0.20060","0.18679","120.63K","7.22%"
"Jun 01, 2018","0.18680","0.19674","0.20444","0.18268","129.79K","-4.32%"
"May 31, 2018","0.19523","0.18093","0.19888","0.15299","43.02K","7.95%"
"May 30, 2018","0.18085","0.18600","0.19619","0.17836","82.94K","-2.50%"
"May 29, 2018","0.18549","0.17516","0.21099","0.16600","247.55K","5.90%"
"May 28, 2018","0.17516","0.19341","0.19580","0.17104","86.56K","-9.44%"
"May 27, 2018","0.19341","0.18984","0.20565","0.18933","27.57K","1.87%"
"May 26, 2018","0.18986","0.19995","0.20672","0.18593","40.99K","-4.89%"
"May 25, 2018","0.19962","0.20271","0.20859","0.19226","68.42K","-1.52%"
"May 24, 2018","0.20271","0.19294","0.20492","0.18008","134.43K","5.06%"
"May 23, 2018","0.19294","0.21025","0.21737","0.18000","532.22K","-8.44%"
"May 22, 2018","0.21074","0.23674","0.24505","0.21020","205.21K","-10.98%"
"May 21, 2018","0.23674","0.25849","0.27283","0.23674","84.65K","-8.42%"
"May 20, 2018","0.25849","0.25215","0.28700","0.25094","70.57K","2.52%"
"May 19, 2018","0.25215","0.25775","0.26210","0.25033","37.59K","-2.17%"
"May 18, 2018","0.25775","0.25114","0.25977","0.23215","144.12K","-3.58%"
"May 17, 2018","0.26731","0.27485","0.29385","0.23114","453.20K","-2.74%"
"May 16, 2018","0.27485","0.27935","0.33031","0.26006","716.25K","-1.61%"
"May 15, 2018","0.27934","0.27857","0.29999","0.27042","171.01K","3.33%"
"May 14, 2018","0.27034","0.27824","0.29982","0.24087","210.30K","-2.84%"
"May 13, 2018","0.27824","0.24864","0.29810","0.24009","170.42K","13.25%"
"May 12, 2018","0.24569","0.25987","0.26477","0.23271","129.48K","-5.46%"
"May 11, 2018","0.25987","0.30051","0.30499","0.22570","407.55K","-13.52%"
"May 10, 2018","0.30051","0.32044","0.33566","0.30051","127.55K","-6.22%"
"May 09, 2018","0.32044","0.33916","0.34057","0.31265","120.47K","-5.52%"
"May 08, 2018","0.33916","0.35377","0.35390","0.32951","153.34K","-2.81%"
"May 07, 2018","0.34896","0.37673","0.37741","0.32808","214.71K","-7.37%"
"May 06, 2018","0.37673","0.39337","0.39408","0.35638","151.17K","-4.23%"
"May 05, 2018","0.39337","0.39026","0.40776","0.38138","149.50K","0.80%"
"May 04, 2018","0.39026","0.41049","0.42451","0.36978","262.29K","-7.75%"
"May 03, 2018","0.42306","0.38168","0.46430","0.35280","1.11M","10.84%"
"May 02, 2018","0.38168","0.34521","0.69348","0.33858","515.78K","10.56%"
"May 01, 2018","0.34521","0.34517","0.35076","0.32393","123.02K","0.01%"
"Apr 30, 2018","0.34517","0.02615","0.36929","0.02553","239.86K","-3.26%"
"Apr 29, 2018","0.35681","0.36942","0.39090","0.34181","-","-3.56%"
"Apr 28, 2018","0.37000","0.35283","0.39854","0.32674","-","4.75%"
"Apr 27, 2018","0.35322","0.33572","0.37569","0.32911","-","5.07%"
"Apr 26, 2018","0.33619","0.31970","0.37091","0.29730","-","4.87%"
"Apr 25, 2018","0.32057","0.39351","0.41987","0.29934","-","-18.49%"
"Apr 24, 2018","0.39330","0.33701","0.43211","0.30494","-","16.67%"
"Apr 23, 2018","0.33710","0.33034","0.34914","0.31711","-","2.10%"
"Apr 22, 2018","0.33016","0.33748","0.37471","0.30342","-","-2.12%"
"Apr 21, 2018","0.33730","0.38546","0.40630","0.30832","-","-12.40%"
"Apr 20, 2018","0.38506","0.38651","0.44894","0.33931","-","-0.39%"
"Apr 19, 2018","0.38656","0.32575","0.43063","0.30044","-","18.64%"
"Apr 18, 2018","0.32581","0.28436","0.36811","0.25913","-","14.43%"
"Apr 17, 2018","0.28472","0.24902","0.29095","0.24503","-","14.30%"
"Apr 16, 2018","0.24910","0.24935","0.26166","0.23110","-","0.08%"
"Apr 15, 2018","0.24891","0.22160","0.27458","0.20424","-","12.18%"
"Apr 14, 2018","0.22189","0.21507","0.24025","0.19828","-","3.28%"
"Apr 13, 2018","0.21483","0.20472","0.23474","0.18706","-","4.91%"
"Apr 12, 2018","0.20479","0.17841","0.24528","0.15278","-","14.72%"
"Apr 11, 2018","0.17852","0.17570","0.18542","0.16998","-","1.59%"
"Apr 10, 2018","0.17572","0.16035","0.18232","0.15216","-","9.73%"
"Apr 09, 2018","0.16014","0.16689","0.18560","0.15145","-","-4.06%"
"Apr 08, 2018","0.16692","0.16422","0.17507","0.15749","-","1.52%"
"Apr 07, 2018","0.16441","0.15105","0.16976","0.14424","-","8.76%"
"Apr 06, 2018","0.15118","0.15440","0.16095","0.14594","-","-1.92%"
"Apr 05, 2018","0.15414","0.15401","0.15860","0.14632","-","-0.07%"
"Apr 04, 2018","0.15424","0.16443","0.16976","0.14616","-","-6.05%"
"Apr 03, 2018","0.16417","0.13788","0.17979","0.12551","-","19.07%"
"Apr 02, 2018","0.13788","0.13129","0.15185","0.12549","-","5.07%"
"Apr 01, 2018","0.13122","0.13833","0.14913","0.12150","-","-5.14%"
"Mar 31, 2018","0.13833","0.14105","0.15250","0.11953","-","-2.07%"
"Mar 30, 2018","0.14126","0.14114","0.15331","0.12566","-","0.11%"
"Mar 29, 2018","0.14110","0.16005","0.17960","0.12669","-","-11.82%"
"Mar 28, 2018","0.16001","0.13803","0.16710","0.13057","-","15.74%"
"Mar 27, 2018","0.13825","0.16119","0.16873","0.13206","-","-14.02%"
"Mar 26, 2018","0.16079","0.17291","0.18375","0.14043","-","-7.06%"
"Mar 25, 2018","0.17301","0.17072","0.17959","0.16650","-","1.42%"
"Mar 24, 2018","0.17059","0.16379","0.18884","0.15819","-","4.46%"
"Mar 23, 2018","0.16330","0.16926","0.18524","0.14538","-","-3.76%"
"Mar 22, 2018","0.16968","0.17409","0.18470","0.14171","-","-2.43%"
"Mar 21, 2018","0.17389","0.15394","0.19050","0.14457","-","13.20%"
"Mar 20, 2018","0.15362","0.13471","0.17091","0.12563","-","13.54%"
"Mar 19, 2018","0.13531","0.11674","0.15192","0.10828","-","16.02%"
"Mar 18, 2018","0.11662","0.12938","0.16329","0.09092","-","-10.06%"
"Mar 17, 2018","0.12966","0.14055","0.15402","0.11422","-","-8.64%"
"Mar 16, 2018","0.14192","0.14031","0.15049","0.12259","-","1.03%"
"Mar 15, 2018","0.14047","0.15052","0.19954","0.12324","-","-6.62%"
"Mar 14, 2018","0.15042","0.19244","0.20646","0.14189","-","-21.77%"
"Mar 13, 2018","0.19230","0.18358","0.20777","0.15910","-","4.90%"
"Mar 12, 2018","0.18330","0.20140","0.22070","0.18147","-","-8.90%"
"Mar 11, 2018","0.20122","0.18187","0.24319","0.16850","-","10.65%"
"Mar 10, 2018","0.18185","0.18171","0.22263","0.17523","-","-0.08%"
"Mar 09, 2018","0.18201","0.20539","0.22379","0.14917","-","-11.34%"
"Mar 08, 2018","0.20528","0.22990","0.24821","0.19786","-","-10.65%"
"Mar 07, 2018","0.22974","0.27964","0.28534","0.19354","-","-14.66%"
"Mar 06, 2018","0.26920","0.29873","0.29915","0.26920","-","-8.72%"
"Mar 05, 2018","0.29490","0.32730","0.32730","0.29473","-","-11.02%"
"Mar 04, 2018","0.33140","0.30389","0.33140","0.29319","-","8.87%"
