"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","6.5754","6.2995","6.7436","6.2805","161.98K","4.74%"
"Jun 29, 2018","6.2779","5.6398","6.3527","5.6045","162.68K","11.30%"
"Jun 28, 2018","5.6404","6.0057","6.1639","5.6199","151.45K","-6.24%"
"Jun 27, 2018","6.0160","6.0931","6.1087","5.8248","159.56K","-1.43%"
"Jun 26, 2018","6.1031","6.7148","6.7220","6.0823","156.48K","-9.11%"
"Jun 25, 2018","6.7149","6.5781","6.9489","6.1275","167.35K","2.08%"
"Jun 24, 2018","6.5781","6.9592","6.9899","5.9655","173.64K","-5.48%"
"Jun 23, 2018","6.9592","6.9636","7.1608","6.5288","168.36K","0.03%"
"Jun 22, 2018","6.9571","7.9795","8.0198","6.6879","173.27K","-12.82%"
"Jun 21, 2018","7.9804","8.4573","8.4692","7.9000","162.18K","-5.30%"
"Jun 20, 2018","8.4269","8.6034","8.6487","8.2442","159.93K","-2.24%"
"Jun 19, 2018","8.6199","8.6802","8.9386","8.5263","155.42K","-0.76%"
"Jun 18, 2018","8.6858","8.4114","8.9315","8.1468","160.66K","3.26%"
"Jun 17, 2018","8.4114","8.3569","8.5188","8.3202","154.27K","1.05%"
"Jun 16, 2018","8.3239","8.3912","8.5961","8.1977","153.23K","-0.41%"
"Jun 15, 2018","8.3579","9.0811","9.1543","8.2358","160.73K","-7.96%"
"Jun 14, 2018","9.0811","8.0993","9.2078","8.0986","161.92K","12.12%"
"Jun 13, 2018","8.0993","8.8624","9.2774","7.6276","175.05K","-8.88%"
"Jun 12, 2018","8.8890","9.8708","9.9531","8.7033","163.97K","-10.05%"
"Jun 11, 2018","9.8824","9.7535","9.9228","9.4562","169.11K","1.28%"
"Jun 10, 2018","9.7574","11.4573","11.4586","9.4933","174.94K","-14.43%"
"Jun 09, 2018","11.4027","12.0024","12.1300","11.4027","155.96K","-5.00%"
"Jun 08, 2018","12.0024","11.9593","12.1651","11.6000","159.71K","0.26%"
"Jun 07, 2018","11.9717","12.8799","13.2294","11.9109","179.56K","-7.20%"
"Jun 06, 2018","12.9004","12.0841","12.9537","11.7607","163.07K","6.80%"
"Jun 05, 2018","12.0795","10.9367","12.2041","10.8281","185.24K","10.45%"
"Jun 04, 2018","10.9367","11.8041","11.8080","10.7958","147.23K","-7.09%"
"Jun 03, 2018","11.7713","11.3756","12.2053","11.3275","158.14K","3.48%"
"Jun 02, 2018","11.3756","11.2180","12.0933","10.8941","165.72K","1.29%"
"Jun 01, 2018","11.2303","11.2408","12.8406","11.0581","179.31K","-0.19%"
"May 31, 2018","11.2513","10.8594","11.4600","10.7501","159.66K","3.80%"
"May 30, 2018","10.8396","11.2895","11.5644","10.6689","154.86K","-3.65%"
"May 29, 2018","11.2506","10.0593","11.4248","10.0512","154.47K","11.75%"
"May 28, 2018","10.0679","10.9633","11.0220","10.0216","165.95K","-8.40%"
"May 27, 2018","10.9910","10.8082","11.2208","10.6399","156.19K","1.69%"
"May 26, 2018","10.8082","10.7701","11.1935","10.7088","152.14K","0.35%"
"May 25, 2018","10.7701","11.0933","11.3915","10.5495","165.85K","-3.01%"
"May 24, 2018","11.1043","10.1113","11.1546","9.8380","166.29K","9.53%"
"May 23, 2018","10.1383","11.0444","11.4296","9.9290","155.22K","-8.32%"
"May 22, 2018","11.0588","12.6178","12.9132","11.0000","169.06K","-12.36%"
"May 21, 2018","12.6178","12.4236","12.7251","12.1348","180.33K","1.56%"
"May 20, 2018","12.4236","11.7188","12.4460","11.6088","150.07K","6.01%"
"May 19, 2018","11.7188","12.0194","12.3872","11.6142","155.08K","-2.78%"
"May 18, 2018","12.0539","11.3283","12.0936","11.0936","151.56K","5.55%"
"May 17, 2018","11.4206","12.1542","12.6067","11.2998","154.23K","-5.96%"
"May 16, 2018","12.1441","12.6952","12.7380","11.7851","157.01K","-4.53%"
"May 15, 2018","12.7197","13.2071","13.9669","12.6002","158.61K","-3.58%"
