"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.16469","0.15369","0.16655","0.15345","3.93M","7.12%"
"Jun 29, 2018","0.15375","0.14687","0.15417","0.14518","5.03M","4.63%"
"Jun 28, 2018","0.14695","0.15449","0.15622","0.14647","2.77M","-4.76%"
"Jun 27, 2018","0.15429","0.15318","0.15567","0.14860","4.00M","0.73%"
"Jun 26, 2018","0.15317","0.15872","0.16174","0.15308","6.51M","-3.50%"
"Jun 25, 2018","0.15872","0.15525","0.16327","0.15329","5.77M","2.23%"
"Jun 24, 2018","0.15525","0.16780","0.16780","0.14466","6.97M","-6.56%"
"Jun 23, 2018","0.16616","0.16539","0.17050","0.16209","4.90M","0.45%"
"Jun 22, 2018","0.16542","0.18901","0.18987","0.15948","6.34M","-12.49%"
"Jun 21, 2018","0.18902","0.19600","0.19600","0.18771","3.99M","-3.54%"
"Jun 20, 2018","0.19595","0.19883","0.19946","0.19206","2.95M","-1.41%"
"Jun 19, 2018","0.19875","0.19873","0.20316","0.19623","4.63M","-0.03%"
"Jun 18, 2018","0.19881","0.19469","0.20307","0.19059","4.18M","2.09%"
"Jun 17, 2018","0.19474","0.19576","0.19898","0.19462","4.29M","-0.52%"
"Jun 16, 2018","0.19576","0.19466","0.19758","0.19123","3.62M","0.56%"
"Jun 15, 2018","0.19466","0.20428","0.20543","0.19326","4.25M","-4.71%"
"Jun 14, 2018","0.20428","0.18997","0.20686","0.18983","4.15M","7.39%"
"Jun 13, 2018","0.19022","0.20689","0.20974","0.18622","4.42M","-8.09%"
"Jun 12, 2018","0.20696","0.22195","0.22279","0.20366","3.82M","-6.75%"
"Jun 11, 2018","0.22195","0.21749","0.22936","0.21282","3.89M","1.99%"
"Jun 10, 2018","0.21761","0.24445","0.24460","0.21158","4.47M","-11.04%"
"Jun 09, 2018","0.24460","0.25266","0.26197","0.24408","4.15M","-2.91%"
"Jun 08, 2018","0.25193","0.25533","0.25631","0.24815","3.43M","-1.38%"
"Jun 07, 2018","0.25545","0.25107","0.27725","0.25049","4.58M","1.83%"
"Jun 06, 2018","0.25085","0.25202","0.25315","0.24514","3.67M","-0.54%"
"Jun 05, 2018","0.25221","0.25019","0.25651","0.23968","4.50M","0.94%"
"Jun 04, 2018","0.24985","0.26448","0.26715","0.24396","4.08M","-5.53%"
"Jun 03, 2018","0.26448","0.26456","0.27614","0.26259","3.98M","-0.03%"
"Jun 02, 2018","0.26457","0.25423","0.26496","0.25342","3.86M","3.96%"
"Jun 01, 2018","0.25448","0.24562","0.26196","0.24497","4.30M","3.63%"
"May 31, 2018","0.24557","0.24223","0.24928","0.23874","3.94M","1.38%"
"May 30, 2018","0.24223","0.24073","0.25320","0.23603","2.60M","0.63%"
"May 29, 2018","0.24070","0.22883","0.25041","0.22775","3.87M","5.26%"
"May 28, 2018","0.22869","0.25678","0.25729","0.22854","3.97M","-10.93%"
"May 27, 2018","0.25673","0.25837","0.25968","0.25371","3.63M","-0.69%"
"May 26, 2018","0.25851","0.26277","0.26928","0.25728","3.54M","-1.76%"
"May 25, 2018","0.26313","0.27127","0.27529","0.26021","2.40M","-2.85%"
"May 24, 2018","0.27085","0.26172","0.27190","0.25282","3.51M","3.40%"
"May 23, 2018","0.26194","0.28800","0.28903","0.25722","4.05M","-9.09%"
"May 22, 2018","0.28813","0.31072","0.31104","0.28703","3.41M","-7.14%"
"May 21, 2018","0.31030","0.32214","0.32529","0.30745","3.73M","-3.66%"
"May 20, 2018","0.32210","0.30739","0.32441","0.30533","3.51M","4.79%"
"May 19, 2018","0.30739","0.31174","0.31680","0.30272","3.33M","-1.40%"
"May 18, 2018","0.31174","0.30369","0.31419","0.29334","2.88M","2.97%"
"May 17, 2018","0.30276","0.32415","0.33058","0.30008","2.84M","-6.83%"
"May 16, 2018","0.32495","0.33508","0.33508","0.30860","2.68M","-2.86%"
"May 15, 2018","0.33451","0.36361","0.37043","0.33282","2.89M","-8.27%"
"May 14, 2018","0.36467","0.35593","0.38219","0.33204","3.37M","2.46%"
"May 13, 2018","0.35593","0.33096","0.35694","0.32433","2.68M","7.37%"
"May 12, 2018","0.33151","0.32227","0.34024","0.30385","3.31M","2.95%"
"May 11, 2018","0.32201","0.35382","0.35412","0.30354","3.09M","-8.92%"
"May 10, 2018","0.35356","0.38028","0.38455","0.35311","2.79M","-7.03%"
"May 09, 2018","0.38028","0.37910","0.38956","0.35875","2.71M","0.31%"
"May 08, 2018","0.37908","0.39276","0.39297","0.37061","2.73M","-3.97%"
"May 07, 2018","0.39477","0.41846","0.41868","0.37887","2.91M","-5.69%"
"May 06, 2018","0.41857","0.42729","0.42952","0.39813","3.02M","-2.29%"
"May 05, 2018","0.42837","0.43089","0.43960","0.42589","2.91M","-0.50%"
"May 04, 2018","0.43053","0.43570","0.43849","0.42171","2.84M","-1.17%"
"May 03, 2018","0.43561","0.42331","0.44113","0.41554","2.66M","2.91%"
"May 02, 2018","0.42331","0.40400","0.42641","0.40007","1.60M","4.78%"
"May 01, 2018","0.40400","0.40644","0.40765","0.38782","1.36M","-0.60%"
"Apr 30, 2018","0.40644","0.42651","0.42705","0.40310","1.32M","-4.70%"
"Apr 29, 2018","0.42647","0.42103","0.43847","0.40111","1.33M","1.29%"
"Apr 28, 2018","0.42103","0.38827","0.42690","0.38637","1.44M","8.44%"
"Apr 27, 2018","0.38827","0.40199","0.41039","0.38782","1.03M","-3.40%"
"Apr 26, 2018","0.40193","0.37632","0.40270","0.36276","1.43M","6.84%"
"Apr 25, 2018","0.37619","0.43012","0.45036","0.35247","2.59M","-12.54%"
"Apr 24, 2018","0.43012","0.39678","0.43792","0.39593","2.22M","7.71%"
"Apr 23, 2018","0.39932","0.38574","0.40046","0.38260","1.02M","3.52%"
"Apr 22, 2018","0.38574","0.38369","0.40150","0.37369","1.81M","0.53%"
"Apr 21, 2018","0.38369","0.40995","0.41382","0.35744","1.83M","-6.47%"
"Apr 20, 2018","0.41023","0.38928","0.41169","0.37772","1.82M","5.39%"
"Apr 19, 2018","0.38925","0.37568","0.39135","0.37261","1.33M","3.62%"
"Apr 18, 2018","0.37567","0.34018","0.37589","0.33956","1.85M","10.50%"
"Apr 17, 2018","0.33996","0.34326","0.35386","0.31790","1.43M","-0.96%"
"Apr 16, 2018","0.34326","0.35987","0.37943","0.31852","4.41M","-4.63%"
"Apr 15, 2018","0.35991","0.30634","0.36309","0.30626","2.52M","17.49%"
"Apr 14, 2018","0.30634","0.27975","0.30978","0.27791","1.75M","9.50%"
"Apr 13, 2018","0.27975","0.27726","0.31122","0.26892","3.38M","0.86%"
"Apr 12, 2018","0.27737","0.24994","0.28071","0.23584","3.09M","10.99%"
"Apr 11, 2018","0.24991","0.23523","0.25016","0.23521","798.22K","6.25%"
"Apr 10, 2018","0.23520","0.22911","0.23743","0.22431","1.78M","2.67%"
"Apr 09, 2018","0.22908","0.23507","0.24716","0.22315","2.51M","-2.53%"
"Apr 08, 2018","0.23503","0.22766","0.23694","0.22646","1.94M","3.27%"
"Apr 07, 2018","0.22760","0.21805","0.23384","0.21801","894.77K","4.38%"
"Apr 06, 2018","0.21805","0.22571","0.23165","0.21360","1.92M","-3.43%"
"Apr 05, 2018","0.22580","0.22759","0.23991","0.21790","1.02M","-0.79%"
"Apr 04, 2018","0.22759","0.25815","0.26371","0.22471","1.68M","-11.84%"
"Apr 03, 2018","0.25815","0.22769","0.25875","0.22769","2.51M","13.38%"
"Apr 02, 2018","0.22769","0.21576","0.23130","0.21210","1.07M","5.55%"
"Apr 01, 2018","0.21572","0.22529","0.22707","0.20306","1.28M","-4.30%"
"Mar 31, 2018","0.22540","0.22498","0.23385","0.22222","925.19K","0.19%"
"Mar 30, 2018","0.22498","0.23166","0.23291","0.20938","1.94M","-2.88%"
"Mar 29, 2018","0.23164","0.25283","0.25819","0.22086","2.87M","-8.38%"
"Mar 28, 2018","0.25283","0.25086","0.26407","0.24693","1.87M","0.84%"
"Mar 27, 2018","0.25074","0.26979","0.26990","0.24760","1.90M","-7.09%"
"Mar 26, 2018","0.26987","0.28778","0.29063","0.25213","2.64M","-6.23%"
"Mar 25, 2018","0.28778","0.28104","0.30997","0.27261","3.39M","2.40%"
"Mar 24, 2018","0.28104","0.28240","0.29756","0.28020","2.07M","-0.54%"
"Mar 23, 2018","0.28257","0.29621","0.29903","0.27265","1.65M","-4.61%"
"Mar 22, 2018","0.29622","0.29287","0.31179","0.28013","2.38M","1.13%"
"Mar 21, 2018","0.29292","0.30704","0.31618","0.28624","5.34M","-4.60%"
"Mar 20, 2018","0.30704","0.28945","0.34408","0.27049","14.51M","6.08%"
"Mar 19, 2018","0.28945","0.28489","0.31109","0.24641","4.42M","1.60%"
"Mar 18, 2018","0.28489","0.28258","0.28542","0.22948","2.31M","0.82%"
"Mar 17, 2018","0.28258","0.34021","0.34104","0.27928","2.13M","-16.94%"
"Mar 16, 2018","0.34021","0.37664","0.38868","0.34013","1.33M","-9.66%"
"Mar 15, 2018","0.37660","0.39513","0.43301","0.34073","2.13M","-4.70%"
"Mar 14, 2018","0.39517","0.46377","0.53320","0.39125","4.45M","-14.75%"
"Mar 13, 2018","0.46352","0.38381","0.47946","0.38332","2.92M","20.69%"
"Mar 12, 2018","0.38405","0.34285","0.41067","0.33749","2.44M","12.09%"
"Mar 11, 2018","0.34264","0.34661","0.36435","0.32218","1.57M","-1.14%"
"Mar 10, 2018","0.34659","0.34506","0.36839","0.34320","1.46M","0.45%"
"Mar 09, 2018","0.34506","0.33467","0.35842","0.32399","2.94M","3.10%"
"Mar 08, 2018","0.33467","0.29892","0.36148","0.28555","3.55M","12.06%"
