"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.19349","0.18764","0.20265","0.18644","8.65M","3.00%"
"Jun 29, 2018","0.18785","0.17787","0.18895","0.17185","8.68M","5.61%"
"Jun 28, 2018","0.17787","0.19113","0.19219","0.17623","4.85M","-7.00%"
"Jun 27, 2018","0.19125","0.18335","0.19286","0.18091","6.94M","4.42%"
"Jun 26, 2018","0.18316","0.19797","0.19797","0.18272","7.32M","-7.50%"
"Jun 25, 2018","0.19801","0.19325","0.20292","0.18880","9.85M","2.46%"
"Jun 24, 2018","0.19325","0.20153","0.20181","0.17713","11.18M","-4.01%"
"Jun 23, 2018","0.20132","0.20087","0.20455","0.19578","5.57M","0.34%"
"Jun 22, 2018","0.20064","0.22718","0.22740","0.19626","10.21M","-11.62%"
"Jun 21, 2018","0.22702","0.23039","0.23549","0.22490","5.02M","-1.52%"
"Jun 20, 2018","0.23053","0.23412","0.23534","0.22412","6.76M","-1.53%"
"Jun 19, 2018","0.23412","0.23252","0.24009","0.23079","5.71M","0.63%"
"Jun 18, 2018","0.23265","0.22859","0.23970","0.22145","6.19M","1.70%"
"Jun 17, 2018","0.22876","0.23005","0.23296","0.22775","4.21M","-0.53%"
"Jun 16, 2018","0.22999","0.22930","0.23298","0.22342","5.48M","0.36%"
"Jun 15, 2018","0.22916","0.23999","0.24237","0.22902","5.45M","-4.53%"
"Jun 14, 2018","0.24003","0.21922","0.24301","0.21726","8.39M","9.50%"
"Jun 13, 2018","0.21922","0.22741","0.23027","0.20448","12.11M","-3.62%"
"Jun 12, 2018","0.22745","0.25307","0.25361","0.22499","9.89M","-10.12%"
"Jun 11, 2018","0.25307","0.24509","0.25309","0.23563","12.64M","3.26%"
"Jun 10, 2018","0.24509","0.27994","0.27997","0.23848","11.94M","-12.45%"
"Jun 09, 2018","0.27994","0.28675","0.29083","0.27907","6.88M","-2.35%"
"Jun 08, 2018","0.28666","0.29185","0.29458","0.28507","11.78M","-1.78%"
"Jun 07, 2018","0.29185","0.29823","0.30568","0.28922","11.33M","-2.14%"
"Jun 06, 2018","0.29823","0.29400","0.29877","0.28882","7.01M","1.42%"
"Jun 05, 2018","0.29407","0.29127","0.29841","0.28070","6.04M","1.08%"
"Jun 04, 2018","0.29093","0.30353","0.30864","0.28634","8.55M","-4.36%"
"Jun 03, 2018","0.30421","0.29842","0.31002","0.29697","17.43M","1.94%"
"Jun 02, 2018","0.29842","0.28892","0.30216","0.28887","7.30M","3.02%"
"Jun 01, 2018","0.28966","0.29569","0.29832","0.28078","10.47M","-2.18%"
"May 31, 2018","0.29612","0.27535","0.30289","0.27241","12.27M","7.55%"
"May 30, 2018","0.27535","0.28203","0.29352","0.26475","10.62M","-2.37%"
"May 29, 2018","0.28203","0.24983","0.28359","0.24473","13.56M","12.89%"
"May 28, 2018","0.24983","0.27369","0.27733","0.24983","8.76M","-8.70%"
"May 27, 2018","0.27363","0.28218","0.28253","0.27121","7.91M","-2.98%"
"May 26, 2018","0.28204","0.28664","0.29388","0.28082","9.12M","-1.58%"
"May 25, 2018","0.28657","0.29076","0.29811","0.28083","8.74M","-1.44%"
"May 24, 2018","0.29076","0.27527","0.29627","0.26739","15.26M","5.63%"
"May 23, 2018","0.27527","0.29374","0.29374","0.26384","12.11M","-6.29%"
"May 22, 2018","0.29374","0.31268","0.31960","0.29243","7.04M","-6.09%"
"May 21, 2018","0.31280","0.32816","0.32943","0.31044","6.83M","-4.68%"
"May 20, 2018","0.32816","0.31332","0.33243","0.31096","8.33M","4.74%"
"May 19, 2018","0.31332","0.31624","0.32590","0.30811","6.22M","-0.89%"
"May 18, 2018","0.31614","0.30708","0.31742","0.30059","9.78M","2.95%"
"May 17, 2018","0.30708","0.33133","0.34010","0.30473","7.67M","-7.32%"
"May 16, 2018","0.33133","0.34113","0.34113","0.31886","10.40M","-2.90%"
"May 15, 2018","0.34124","0.36224","0.37031","0.34106","9.92M","-5.81%"
"May 14, 2018","0.36230","0.36951","0.37961","0.34258","9.75M","-2.14%"
"May 13, 2018","0.37020","0.35805","0.37806","0.35135","12.75M","3.96%"
"May 12, 2018","0.35611","0.31130","0.36462","0.29836","13.28M","14.40%"
"May 11, 2018","0.31130","0.34695","0.35025","0.29469","16.72M","-10.28%"
"May 10, 2018","0.34695","0.37311","0.38464","0.34580","8.43M","-7.01%"
"May 09, 2018","0.37311","0.38034","0.38639","0.35491","8.47M","-2.06%"
"May 08, 2018","0.38096","0.40607","0.40607","0.37269","8.07M","-4.45%"
"May 07, 2018","0.39872","0.41081","0.41257","0.37657","10.07M","-2.92%"
"May 06, 2018","0.41071","0.43176","0.43376","0.40349","9.24M","-4.73%"
"May 05, 2018","0.43112","0.42985","0.43701","0.42592","8.91M","0.30%"
"May 04, 2018","0.42985","0.43550","0.44047","0.42124","9.28M","-1.30%"
"May 03, 2018","0.43550","0.43967","0.44327","0.42654","10.03M","-0.92%"
"May 02, 2018","0.43954","0.43802","0.44493","0.42958","7.67M","0.35%"
"May 01, 2018","0.43802","0.42255","0.44941","0.38916","19.35M","3.66%"
"Apr 30, 2018","0.42255","0.45821","0.46077","0.41253","14.13M","-7.78%"
"Apr 29, 2018","0.45821","0.43029","0.46546","0.42248","22.70M","6.78%"
"Apr 28, 2018","0.42910","0.38691","0.43640","0.38532","14.84M","10.74%"
"Apr 27, 2018","0.38750","0.38743","0.42476","0.38191","24.90M","0.02%"
"Apr 26, 2018","0.38743","0.33752","0.38743","0.32752","22.42M","14.79%"
"Apr 25, 2018","0.33752","0.39410","0.39667","0.32430","23.14M","-14.58%"
"Apr 24, 2018","0.39515","0.37093","0.40817","0.37006","15.51M","6.53%"
"Apr 23, 2018","0.37093","0.36456","0.37543","0.36270","8.06M","1.75%"
"Apr 22, 2018","0.36456","0.37258","0.38523","0.36120","11.15M","-1.94%"
"Apr 21, 2018","0.37176","0.39077","0.39963","0.34367","17.48M","-4.75%"
"Apr 20, 2018","0.39029","0.36573","0.39955","0.35350","19.12M","6.72%"
"Apr 19, 2018","0.36573","0.35497","0.37773","0.34552","14.90M","3.03%"
"Apr 18, 2018","0.35497","0.30085","0.35673","0.29977","15.12M","17.99%"
"Apr 17, 2018","0.30085","0.28439","0.31973","0.27953","14.83M","5.79%"
"Apr 16, 2018","0.28439","0.29571","0.30598","0.27074","13.19M","-3.83%"
"Apr 15, 2018","0.29571","0.25238","0.30772","0.25238","14.10M","17.17%"
"Apr 14, 2018","0.25238","0.24554","0.26174","0.24180","8.37M","2.78%"
"Apr 13, 2018","0.24554","0.24479","0.27470","0.23246","22.87M","0.31%"
"Apr 12, 2018","0.24479","0.21248","0.24655","0.20538","24.32M","15.21%"
"Apr 11, 2018","0.21248","0.19818","0.21418","0.19792","5.98M","7.22%"
"Apr 10, 2018","0.19818","0.19500","0.20276","0.19500","3.63M","1.63%"
"Apr 09, 2018","0.19500","0.20465","0.21446","0.19091","10.46M","-4.72%"
"Apr 08, 2018","0.20465","0.19898","0.20780","0.19883","2.97M","2.85%"
"Apr 07, 2018","0.19898","0.19192","0.20638","0.19192","7.69M","3.68%"
"Apr 06, 2018","0.19192","0.19546","0.19776","0.18839","5.80M","-1.81%"
"Apr 05, 2018","0.19546","0.20040","0.20734","0.18977","12.12M","-2.47%"
"Apr 04, 2018","0.20040","0.23447","0.23448","0.19927","23.54M","-14.53%"
"Apr 03, 2018","0.23447","0.22472","0.23779","0.22277","11.72M","4.34%"
"Apr 02, 2018","0.22472","0.20535","0.23740","0.20294","16.44M","9.44%"
"Apr 01, 2018","0.20535","0.20450","0.21135","0.18729","9.84M","0.41%"
"Mar 31, 2018","0.20450","0.18689","0.22034","0.18689","11.94M","9.42%"
"Mar 30, 2018","0.18689","0.18952","0.19977","0.17357","15.22M","-1.39%"
"Mar 29, 2018","0.18952","0.21783","0.22054","0.18709","20.47M","-13.00%"
"Mar 28, 2018","0.21783","0.21506","0.22575","0.21252","4.97M","1.29%"
"Mar 27, 2018","0.21506","0.22753","0.22901","0.20253","13.80M","-5.42%"
"Mar 26, 2018","0.22739","0.23856","0.24523","0.21468","9.94M","-4.68%"
"Mar 25, 2018","0.23856","0.23236","0.24300","0.22942","6.22M","2.67%"
"Mar 24, 2018","0.23236","0.23683","0.24536","0.23205","6.50M","-1.89%"
"Mar 23, 2018","0.23683","0.24135","0.24145","0.22233","8.26M","-1.87%"
"Mar 22, 2018","0.24135","0.25050","0.25785","0.22410","14.87M","-3.65%"
"Mar 21, 2018","0.25050","0.26681","0.27270","0.24504","14.30M","-6.11%"
"Mar 20, 2018","0.26681","0.24721","0.28073","0.23215","15.66M","7.85%"
"Mar 19, 2018","0.24740","0.21915","0.24755","0.21027","21.62M","12.89%"
"Mar 18, 2018","0.21915","0.20818","0.22965","0.15854","29.93M","5.27%"
"Mar 17, 2018","0.20818","0.22868","0.23418","0.19965","11.13M","-8.98%"
"Mar 16, 2018","0.22873","0.23951","0.24178","0.22692","4.85M","-4.50%"
"Mar 15, 2018","0.23951","0.24561","0.24798","0.21447","12.31M","-2.49%"
"Mar 14, 2018","0.24561","0.28802","0.29575","0.23546","8.91M","-14.73%"
"Mar 13, 2018","0.28802","0.28878","0.29792","0.27918","3.66M","-0.26%"
"Mar 12, 2018","0.28878","0.30397","0.31010","0.28093","5.13M","-5.00%"
"Mar 11, 2018","0.30397","0.28674","0.30603","0.27181","4.94M","6.01%"
"Mar 10, 2018","0.28674","0.30756","0.31744","0.28285","3.04M","-6.77%"
"Mar 09, 2018","0.30756","0.30883","0.31102","0.26138","12.28M","-0.41%"
"Mar 08, 2018","0.30883","0.32394","0.33759","0.29939","9.24M","-4.66%"
"Mar 07, 2018","0.32394","0.33130","0.34670","0.29095","11.50M","-2.22%"
"Mar 06, 2018","0.33130","0.34875","0.36352","0.32967","5.70M","-5.23%"
"Mar 05, 2018","0.34959","0.36190","0.39977","0.34915","11.18M","-3.40%"
"Mar 04, 2018","0.36190","0.34709","0.36496","0.33974","9.12M","4.27%"
"Mar 03, 2018","0.34709","0.31823","0.34818","0.31199","5.23M","9.07%"
"Mar 02, 2018","0.31823","0.33641","0.34015","0.31767","4.96M","-5.41%"
"Mar 01, 2018","0.33641","0.33048","0.34975","0.31528","7.62M","1.62%"
"Feb 28, 2018","0.33106","0.35808","0.36344","0.32945","6.64M","-7.01%"
"Feb 27, 2018","0.35603","0.35443","0.36996","0.34903","7.21M","0.45%"
"Feb 26, 2018","0.35443","0.34733","0.36763","0.33557","5.87M","2.04%"
"Feb 25, 2018","0.34733","0.34069","0.35450","0.32817","3.55M","1.95%"
"Feb 24, 2018","0.34069","0.36712","0.37363","0.32863","5.94M","-7.20%"
"Feb 23, 2018","0.36712","0.34678","0.37853","0.33652","7.76M","5.87%"
"Feb 22, 2018","0.34678","0.37552","0.39539","0.34063","12.91M","-7.65%"
"Feb 21, 2018","0.37552","0.39012","0.42236","0.36415","15.27M","-3.74%"
"Feb 20, 2018","0.39012","0.44306","0.44891","0.38602","10.05M","-11.95%"
"Feb 19, 2018","0.44306","0.43574","0.45455","0.43263","4.99M","1.68%"
"Feb 18, 2018","0.43574","0.47279","0.47691","0.42113","8.19M","-7.84%"
"Feb 17, 2018","0.47279","0.44756","0.47751","0.44517","8.28M","5.64%"
"Feb 16, 2018","0.44756","0.44050","0.45252","0.43162","4.30M","1.60%"
"Feb 15, 2018","0.44050","0.44813","0.45622","0.42974","11.33M","-1.70%"
"Feb 14, 2018","0.44813","0.39773","0.44996","0.39115","13.64M","12.67%"
"Feb 13, 2018","0.39773","0.38479","0.42532","0.36053","16.13M","3.36%"
"Feb 12, 2018","0.38479","0.36108","0.39394","0.35953","6.01M","6.57%"
"Feb 11, 2018","0.36108","0.38842","0.38935","0.33983","13.57M","-7.09%"
"Feb 10, 2018","0.38862","0.39192","0.43739","0.36324","18.18M","-0.84%"
"Feb 09, 2018","0.39192","0.35314","0.39890","0.33598","15.23M","10.98%"
"Feb 08, 2018","0.35314","0.33171","0.37376","0.33145","14.69M","6.46%"
"Feb 07, 2018","0.33171","0.36328","0.38876","0.32950","27.00M","-8.69%"
"Feb 06, 2018","0.36328","0.32184","0.36515","0.25934","57.55M","12.24%"
"Feb 05, 2018","0.32367","0.37546","0.41928","0.29227","34.90M","-13.79%"
"Feb 04, 2018","0.37546","0.44756","0.47344","0.35633","18.76M","-16.11%"
"Feb 03, 2018","0.44756","0.41505","0.48514","0.35110","25.02M","7.83%"
"Feb 02, 2018","0.41505","0.45408","0.45408","0.30018","50.48M","-8.59%"
"Feb 01, 2018","0.45406","0.53293","0.54095","0.42181","19.10M","-14.80%"
"Jan 31, 2018","0.53293","0.48754","0.54844","0.44135","16.92M","9.31%"
"Jan 30, 2018","0.48754","0.57942","0.57942","0.46334","24.28M","-15.85%"
"Jan 29, 2018","0.57936","0.62400","0.62891","0.56520","12.71M","-7.15%"
"Jan 28, 2018","0.62400","0.61100","0.63500","0.60740","12.84M","2.13%"
"Jan 27, 2018","0.61100","0.62710","0.63990","0.60600","12.33M","-2.57%"
"Jan 26, 2018","0.62710","0.60800","0.64822","0.54400","34.34M","3.14%"
"Jan 25, 2018","0.60800","0.56884","0.64800","0.55000","37.32M","6.91%"
"Jan 24, 2018","0.56871","0.48400","0.58970","0.47000","44.42M","17.50%"
"Jan 23, 2018","0.48400","0.47754","0.51800","0.42900","25.23M","1.26%"
"Jan 22, 2018","0.47800","0.46000","0.53000","0.42100","37.14M","3.91%"
"Jan 21, 2018","0.46000","0.52600","0.53000","0.43100","19.31M","-12.55%"
"Jan 20, 2018","0.52600","0.50000","0.55000","0.48912","21.96M","5.20%"
"Jan 19, 2018","0.50000","0.49200","0.52800","0.46296","20.08M","1.63%"
"Jan 18, 2018","0.49200","0.47500","0.56180","0.44000","57.89M","3.58%"
"Jan 17, 2018","0.47500","0.43000","0.50439","0.30000","78.20M","10.47%"
"Jan 16, 2018","0.43000","0.59510","0.60200","0.32000","77.53M","-27.74%"
"Jan 15, 2018","0.59510","0.61938","0.67400","0.59000","13.25M","-3.92%"
