"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","131.44","127.45","135.78","127.38","94.42K","3.17%"
"Jun 29, 2018","127.40","117.16","128.56","115.82","71.41K","8.73%"
"Jun 28, 2018","117.17","129.17","135.03","114.82","95.84K","-9.20%"
"Jun 27, 2018","129.04","121.10","131.19","120.04","66.44K","6.53%"
"Jun 26, 2018","121.13","127.35","130.86","120.85","63.09K","-4.83%"
"Jun 25, 2018","127.27","121.90","130.15","121.10","66.47K","4.41%"
"Jun 24, 2018","121.90","115.76","125.67","108.57","84.58K","5.38%"
"Jun 23, 2018","115.68","110.86","119.95","110.56","62.91K","4.35%"
"Jun 22, 2018","110.86","123.92","124.23","107.76","99.47K","-10.60%"
"Jun 21, 2018","124.01","122.85","124.39","121.68","40.44K","0.96%"
"Jun 20, 2018","122.82","126.44","126.44","119.97","41.38K","-2.83%"
"Jun 19, 2018","126.40","127.41","130.96","124.54","53.46K","-0.77%"
"Jun 18, 2018","127.38","123.85","129.88","119.71","58.92K","2.87%"
"Jun 17, 2018","123.83","126.50","126.97","123.30","41.53K","-2.13%"
"Jun 16, 2018","126.52","122.17","128.23","121.04","59.84K","3.56%"
"Jun 15, 2018","122.17","132.63","133.33","122.03","61.27K","-7.89%"
"Jun 14, 2018","132.63","121.88","133.74","118.54","103.67K","8.82%"
"Jun 13, 2018","121.88","125.57","126.72","113.06","121.01K","-2.92%"
"Jun 12, 2018","125.54","138.00","138.52","120.65","78.23K","-8.99%"
"Jun 11, 2018","137.95","139.72","140.24","132.25","44.99K","-1.14%"
"Jun 10, 2018","139.54","154.57","154.70","132.09","99.72K","-9.70%"
"Jun 09, 2018","154.54","158.35","159.98","154.45","35.77K","-2.42%"
"Jun 08, 2018","158.36","164.10","165.31","157.00","47.14K","-3.50%"
"Jun 07, 2018","164.10","164.42","171.75","163.10","52.28K","-0.19%"
"Jun 06, 2018","164.42","166.97","168.00","150.66","47.13K","-1.62%"
"Jun 05, 2018","167.13","160.26","169.15","157.44","48.80K","4.29%"
"Jun 04, 2018","160.25","168.90","170.33","157.65","45.67K","-5.13%"
"Jun 03, 2018","168.91","162.41","177.51","162.31","50.13K","3.94%"
"Jun 02, 2018","162.51","157.64","167.67","156.43","45.76K","3.09%"
"Jun 01, 2018","157.64","155.71","158.55","153.28","27.46K","1.19%"
