"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","3.8306","4.1995","4.3830","3.8242","5.62K","-4.23%"
"Jun 29, 2018","4.0000","3.7795","4.0000","3.5051","1.59K","5.83%"
"Jun 28, 2018","3.7795","3.7200","3.7795","3.6343","2.76K","1.60%"
"Jun 27, 2018","3.7200","3.5020","3.7200","3.4200","2.43K","6.23%"
"Jun 26, 2018","3.5020","3.6011","3.7743","3.5000","2.51K","-2.75%"
"Jun 25, 2018","3.6011","3.3236","3.9477","3.2010","2.73K","8.69%"
"Jun 24, 2018","3.3131","3.6999","3.7000","3.2000","7.64K","-11.23%"
"Jun 23, 2018","3.7321","3.9800","3.9800","3.6032","5.03K","-6.52%"
"Jun 22, 2018","3.9925","4.2777","4.4189","3.6042","2.31K","-6.67%"
"Jun 21, 2018","4.2777","4.3500","4.8550","4.2585","3.93K","-1.66%"
"Jun 20, 2018","4.3500","4.1836","4.3500","4.1235","1.88K","1.09%"
"Jun 19, 2018","4.3033","4.1400","4.3401","4.0293","1.85K","3.94%"
"Jun 18, 2018","4.1400","3.8280","4.2993","3.8280","1.27K","8.15%"
"Jun 17, 2018","3.8280","4.1829","4.1829","3.8280","0.24K","-3.56%"
"Jun 16, 2018","3.9695","3.6000","4.3304","3.6000","2.61K","-0.76%"
"Jun 15, 2018","4.0001","4.0180","4.1874","3.9120","0.58K","-0.45%"
"Jun 14, 2018","4.0180","3.8959","4.3398","3.8000","4.14K","3.34%"
"Jun 13, 2018","3.8880","4.2810","4.5123","3.8000","5.96K","-9.18%"
"Jun 12, 2018","4.2810","4.5000","4.8932","4.2757","3.20K","-4.87%"
"Jun 11, 2018","4.5000","4.6220","4.9241","4.2000","5.46K","-2.64%"
"Jun 10, 2018","4.6220","5.1505","5.4930","4.6200","8.68K","-10.26%"
"Jun 09, 2018","5.1505","5.2773","5.5000","5.0372","6.43K","-2.40%"
"Jun 08, 2018","5.2773","5.0368","5.2773","5.0368","7.59K","4.67%"
"Jun 07, 2018","5.0419","5.1622","5.1622","4.9922","8.65K","-2.33%"
"Jun 06, 2018","5.1622","5.3545","5.3545","5.0000","0.87K","-3.59%"
"Jun 05, 2018","5.3545","5.0300","5.3545","5.0000","6.63K","7.05%"
"Jun 04, 2018","5.0020","5.2534","5.4552","5.0000","14.60K","-4.79%"
"Jun 03, 2018","5.2534","5.7951","5.9429","5.1924","4.11K","-9.35%"
"Jun 02, 2018","5.7951","5.2743","5.9430","5.1500","8.19K","9.79%"
"Jun 01, 2018","5.2783","5.0079","5.3200","5.0079","1.81K","5.40%"
"May 31, 2018","5.0079","5.3840","5.3840","4.9984","6.60K","-6.99%"
"May 30, 2018","5.3840","4.8027","5.3999","4.7368","10.73K","17.99%"
"May 29, 2018","4.5630","4.4376","4.9000","4.2777","1.84K","2.83%"
"May 28, 2018","4.4376","4.3880","4.5000","4.2780","2.21K","1.13%"
"May 27, 2018","4.3880","4.7436","5.4900","4.2001","27.56K","-4.28%"
"May 26, 2018","4.5840","4.5392","4.9999","4.3057","3.12K","3.01%"
"May 25, 2018","4.4499","4.0000","4.6000","4.0000","2.54K","11.25%"
"May 24, 2018","4.0000","4.0540","4.4800","4.0000","0.32K","-1.33%"
"May 23, 2018","4.0540","4.4000","4.6141","3.8642","2.94K","-7.86%"
"May 22, 2018","4.4000","4.8614","4.8614","4.2780","4.76K","-9.49%"
"May 21, 2018","4.8614","5.0580","5.2936","4.6318","2.57K","-3.89%"
"May 20, 2018","5.0580","4.8800","5.3037","4.8600","3.80K","3.65%"
"May 19, 2018","4.8800","4.6244","5.1941","4.6244","1.67K","5.53%"
"May 18, 2018","4.6244","4.8383","4.8775","4.5000","1.34K","-4.72%"
"May 17, 2018","4.8534","4.6901","4.9520","4.6399","8.16K","4.96%"
"May 16, 2018","4.6240","4.7301","5.4444","4.3990","7.89K","-2.24%"
"May 15, 2018","4.7301","5.2099","5.9900","4.7220","17.11K","-9.21%"
"May 14, 2018","5.2099","4.4307","5.2360","3.9950","13.49K","17.59%"
"May 13, 2018","4.4307","3.9061","4.8000","3.7391","6.49K","13.43%"
"May 12, 2018","3.9061","3.8462","4.0359","3.5500","3.61K","1.56%"
"May 11, 2018","3.8462","3.9970","4.0903","3.7700","7.02K","-3.77%"
"May 10, 2018","3.9970","3.9310","4.1220","3.8100","6.39K","1.68%"
"May 09, 2018","3.9310","3.9690","4.1219","3.8501","3.09K","-0.96%"
"May 08, 2018","3.9690","4.0000","4.1603","3.9570","5.47K","1.51%"
"May 07, 2018","3.9100","4.1603","4.1603","3.8030","2.24K","-6.02%"
"May 06, 2018","4.1603","4.2624","4.5000","3.7200","10.02K","-2.40%"
"May 05, 2018","4.2624","3.9000","4.2624","3.7082","4.96K","9.29%"
"May 04, 2018","3.9000","3.9365","4.1492","3.6500","8.50K","-0.93%"
"May 03, 2018","3.9365","3.8450","4.0800","3.6528","6.65K","2.38%"
"May 02, 2018","3.8450","3.5762","3.8450","3.5400","4.89K","7.52%"
"May 01, 2018","3.5762","3.6166","3.9086","3.5190","3.12K","-1.12%"
"Apr 30, 2018","3.6166","3.9400","4.3340","3.5600","11.26K","-8.21%"
"Apr 29, 2018","3.9400","3.6000","4.1990","3.6000","16.40K","9.44%"
"Apr 28, 2018","3.6000","3.5645","3.7900","3.3566","5.50K","1.00%"
"Apr 27, 2018","3.5645","3.6000","3.8320","3.5645","4.20K","-0.99%"
"Apr 26, 2018","3.6000","3.8000","3.8000","3.2711","1.56K","-5.26%"
"Apr 25, 2018","3.8000","4.1900","4.1900","3.2366","13.14K","-9.31%"
"Apr 24, 2018","4.1900","3.5890","4.1900","3.4000","15.92K","16.75%"
"Apr 23, 2018","3.5890","3.2175","3.6600","3.1076","10.19K","11.55%"
"Apr 22, 2018","3.2175","3.0685","3.2190","3.0155","8.63K","4.86%"
"Apr 21, 2018","3.0685","3.1186","3.2530","3.0141","15.06K","-1.61%"
"Apr 20, 2018","3.1186","3.1200","3.2752","2.8800","20.75K","-0.04%"
"Apr 19, 2018","3.1200","3.1330","3.2190","3.0269","12.47K","-0.41%"
"Apr 18, 2018","3.1330","3.0353","3.1340","3.0079","4.91K","-0.33%"
"Apr 17, 2018","3.1434","3.2651","3.2651","3.0075","3.42K","-3.73%"
"Apr 16, 2018","3.2651","3.1500","3.2651","2.8731","3.08K","3.65%"
"Apr 15, 2018","3.1500","2.9593","3.1500","2.8232","7.77K","6.44%"
"Apr 14, 2018","2.9593","3.0000","3.0340","2.8353","2.62K","-1.36%"
"Apr 13, 2018","3.0000","3.1300","3.2880","3.0000","7.25K","-4.15%"
"Apr 12, 2018","3.1300","2.7787","3.1300","2.7260","9.66K","12.64%"
"Apr 11, 2018","2.7787","2.8063","2.9577","2.7100","5.00K","-0.98%"
"Apr 10, 2018","2.8063","2.9218","2.9218","2.6681","0.64K","-3.95%"
"Apr 09, 2018","2.9218","2.6930","2.9375","2.6610","4.08K","8.50%"
"Apr 08, 2018","2.6930","2.7470","2.9205","2.6417","4.41K","-1.97%"
"Apr 07, 2018","2.7470","2.7827","2.7830","2.6417","3.47K","-1.28%"
"Apr 06, 2018","2.7827","2.7986","2.7986","2.6267","1.62K","-0.57%"
"Apr 05, 2018","2.7986","2.7500","2.8198","2.5420","13.57K","1.77%"
"Apr 04, 2018","2.7500","2.9990","2.9990","2.6230","4.50K","-8.30%"
"Apr 03, 2018","2.9990","2.7400","2.9990","2.7357","2.02K","9.45%"
"Apr 02, 2018","2.7400","2.7788","2.9066","2.7400","8.22K","-1.40%"
"Apr 01, 2018","2.7788","2.9000","3.3580","2.5570","16.57K","-4.18%"
"Mar 31, 2018","2.9000","3.1276","3.1276","2.8115","6.95K","-7.28%"
"Mar 30, 2018","3.1276","2.8398","3.3900","2.8000","5.62K","10.13%"
"Mar 29, 2018","2.8398","3.2981","3.4130","2.8398","7.31K","-13.90%"
"Mar 28, 2018","3.2981","3.3716","3.4836","3.0203","4.71K","-2.18%"
"Mar 27, 2018","3.3716","3.9078","3.9078","2.9600","2.41K","-13.72%"
"Mar 26, 2018","3.9078","4.0320","4.0320","3.3000","2.56K","-3.08%"
"Mar 25, 2018","4.0320","3.8942","4.4960","3.5536","3.86K","3.54%"
"Mar 24, 2018","3.8942","3.5385","3.8942","3.3272","3.37K","10.05%"
"Mar 23, 2018","3.5385","3.0999","3.5385","3.0100","4.33K","14.15%"
"Mar 22, 2018","3.0999","3.4720","3.4720","3.0694","2.00K","-10.72%"
"Mar 21, 2018","3.4720","3.4800","3.5000","2.9589","8.51K","-0.23%"
"Mar 20, 2018","3.4800","3.2091","3.4800","2.9004","1.72K","8.44%"
"Mar 19, 2018","3.2091","2.7828","3.3000","2.6240","7.24K","15.32%"
"Mar 18, 2018","2.7828","2.8000","3.0760","2.5420","6.86K","-0.61%"
"Mar 17, 2018","2.8000","3.0550","3.0804","2.8000","2.80K","-8.35%"
"Mar 16, 2018","3.0550","3.2581","3.2581","3.0460","1.21K","-6.23%"
"Mar 15, 2018","3.2581","3.1200","3.4999","2.8645","3.70K","4.43%"
"Mar 14, 2018","3.1200","3.2470","3.5198","3.0769","5.30K","-3.91%"
"Mar 13, 2018","3.2470","3.4688","3.5523","3.2280","1.22K","-6.39%"
"Mar 12, 2018","3.4688","3.4208","3.8227","3.2481","4.49K","1.40%"
