"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.023481","0.022651","0.024285","0.022545","11.19M","3.66%"
"Jun 29, 2018","0.022651","0.021122","0.022845","0.020708","10.74M","7.24%"
"Jun 28, 2018","0.021122","0.022820","0.023001","0.021073","13.19M","-7.44%"
"Jun 27, 2018","0.022820","0.022775","0.022942","0.021944","7.15M","2.10%"
"Jun 26, 2018","0.022351","0.023962","0.024256","0.022326","7.07M","-6.73%"
"Jun 25, 2018","0.023962","0.023539","0.024842","0.022904","6.30M","1.83%"
"Jun 24, 2018","0.023531","0.024234","0.024694","0.021023","16.67M","-2.91%"
"Jun 23, 2018","0.024236","0.024551","0.026725","0.023915","6.98M","-1.28%"
"Jun 22, 2018","0.024550","0.028050","0.028071","0.023586","24.48M","-12.48%"
"Jun 21, 2018","0.028049","0.029205","0.029624","0.027290","9.37M","-3.94%"
"Jun 20, 2018","0.029201","0.029876","0.030183","0.028168","5.14M","-2.26%"
"Jun 19, 2018","0.029876","0.029079","0.030733","0.028688","7.18M","2.74%"
"Jun 18, 2018","0.029078","0.027826","0.029905","0.026910","10.11M","4.42%"
"Jun 17, 2018","0.027848","0.028228","0.028470","0.027587","4.95M","-0.69%"
"Jun 16, 2018","0.028041","0.028074","0.028898","0.027278","5.06M","-0.12%"
"Jun 15, 2018","0.028074","0.030162","0.030380","0.028074","7.35M","-6.81%"
"Jun 14, 2018","0.030126","0.027231","0.031117","0.027231","21.89M","10.63%"
"Jun 13, 2018","0.027231","0.028333","0.028523","0.025208","24.93M","-2.62%"
"Jun 12, 2018","0.027964","0.032651","0.032651","0.027357","14.60M","-13.90%"
"Jun 11, 2018","0.032477","0.031471","0.032770","0.030363","14.92M","3.22%"
"Jun 10, 2018","0.031463","0.036737","0.037577","0.030522","20.87M","-14.36%"
"Jun 09, 2018","0.036737","0.038932","0.039466","0.036737","3.64M","-5.76%"
"Jun 08, 2018","0.038982","0.038053","0.039521","0.037183","10.23M","2.44%"
"Jun 07, 2018","0.038053","0.038783","0.039468","0.037966","4.77M","-1.88%"
"Jun 06, 2018","0.038783","0.039631","0.039786","0.037619","5.97M","-2.17%"
"Jun 05, 2018","0.039642","0.039409","0.040487","0.037474","8.83M","0.59%"
"Jun 04, 2018","0.039409","0.042431","0.042791","0.038713","10.94M","-7.12%"
"Jun 03, 2018","0.042431","0.040711","0.043708","0.040711","9.45M","4.21%"
"Jun 02, 2018","0.040716","0.038503","0.041689","0.038503","7.99M","5.75%"
"Jun 01, 2018","0.038503","0.039278","0.040021","0.037936","6.86M","-2.23%"
"May 31, 2018","0.039379","0.038104","0.040230","0.038054","5.20M","3.35%"
"May 30, 2018","0.038104","0.038451","0.040470","0.036672","11.12M","-0.90%"
"May 29, 2018","0.038451","0.035202","0.040474","0.035202","16.95M","9.23%"
"May 28, 2018","0.035202","0.040350","0.042342","0.034454","16.02M","-12.18%"
"May 27, 2018","0.040085","0.039851","0.041553","0.039302","6.97M","0.59%"
"May 26, 2018","0.039851","0.041069","0.042463","0.039848","8.56M","-3.82%"
"May 25, 2018","0.041433","0.043887","0.044590","0.040371","8.11M","-5.59%"
"May 24, 2018","0.043887","0.040915","0.044843","0.039071","15.86M","7.26%"
"May 23, 2018","0.040917","0.046820","0.048027","0.040127","25.45M","-12.61%"
"May 22, 2018","0.046820","0.053882","0.054693","0.046476","18.02M","-13.11%"
"May 21, 2018","0.053882","0.057131","0.057142","0.053278","10.58M","-5.69%"
"May 20, 2018","0.057131","0.052983","0.057458","0.052770","10.84M","7.83%"
"May 19, 2018","0.052983","0.053483","0.054322","0.052462","3.68M","-0.94%"
"May 18, 2018","0.053483","0.052276","0.054311","0.050406","9.66M","3.07%"
"May 17, 2018","0.051892","0.056024","0.057432","0.051176","7.92M","-7.38%"
"May 16, 2018","0.056029","0.056374","0.057229","0.053067","11.89M","-0.61%"
"May 15, 2018","0.056375","0.060012","0.061208","0.055704","12.04M","-6.06%"
"May 14, 2018","0.060013","0.062130","0.063457","0.056774","16.33M","-3.41%"
"May 13, 2018","0.062130","0.059298","0.062987","0.057839","9.45M","6.97%"
"May 12, 2018","0.058079","0.058097","0.061677","0.053826","27.31M","-0.02%"
"May 11, 2018","0.058092","0.069082","0.069713","0.056834","47.61M","-15.96%"
"May 10, 2018","0.069127","0.076517","0.077120","0.069083","12.02M","-9.66%"
"May 09, 2018","0.076517","0.074410","0.078021","0.069229","17.66M","2.49%"
"May 08, 2018","0.074655","0.076812","0.077247","0.071402","12.62M","-0.03%"
"May 07, 2018","0.074676","0.075678","0.076518","0.070466","18.94M","-1.32%"
"May 06, 2018","0.075678","0.079482","0.079855","0.072659","20.00M","-4.69%"
"May 05, 2018","0.079401","0.079502","0.082021","0.078895","8.98M","-0.13%"
"May 04, 2018","0.079502","0.079536","0.081339","0.076262","17.38M","-0.04%"
"May 03, 2018","0.079536","0.080336","0.085901","0.077622","29.09M","-1.00%"
