"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","171.65","164.21","176.79","164.04","37.26K","4.54%"
"Jun 29, 2018","164.20","155.74","166.27","153.28","33.03K","5.46%"
"Jun 28, 2018","155.70","169.00","169.19","154.64","31.35K","-7.87%"
"Jun 27, 2018","169.00","162.52","170.48","159.88","30.77K","4.00%"
"Jun 26, 2018","162.49","177.07","177.53","162.08","34.21K","-8.23%"
"Jun 25, 2018","177.07","167.50","181.58","164.82","46.51K","5.67%"
"Jun 24, 2018","167.57","172.24","172.68","155.83","44.18K","-2.71%"
"Jun 23, 2018","172.24","168.92","173.84","165.90","25.18K","2.05%"
"Jun 22, 2018","168.79","191.42","192.34","163.14","57.55K","-11.82%"
"Jun 21, 2018","191.41","194.40","197.05","190.70","27.17K","-1.55%"
"Jun 20, 2018","194.42","198.79","199.30","191.45","32.62K","-2.18%"
"Jun 19, 2018","198.76","197.90","200.15","195.81","31.29K","0.44%"
"Jun 18, 2018","197.88","188.43","205.62","183.87","42.49K","5.02%"
"Jun 17, 2018","188.43","191.83","193.31","188.13","29.64K","-1.77%"
"Jun 16, 2018","191.83","194.81","195.53","187.45","32.25K","-1.46%"
"Jun 15, 2018","194.67","199.43","202.07","192.47","39.27K","-2.18%"
"Jun 14, 2018","199.00","183.65","202.04","183.49","57.54K","8.36%"
"Jun 13, 2018","183.65","194.38","200.71","176.58","56.55K","-5.51%"
"Jun 12, 2018","194.36","207.00","213.66","191.42","52.93K","-6.05%"
"Jun 11, 2018","206.87","199.91","207.84","194.72","40.75K","3.49%"
"Jun 10, 2018","199.90","230.75","230.79","196.64","65.80K","-13.36%"
"Jun 09, 2018","230.73","236.60","240.76","229.55","37.54K","-2.48%"
"Jun 08, 2018","236.60","237.40","238.76","231.52","30.87K","-0.32%"
"Jun 07, 2018","237.37","235.80","241.92","232.66","37.97K","0.67%"
"Jun 06, 2018","235.79","238.66","244.17","228.41","44.84K","-1.21%"
"Jun 05, 2018","238.67","235.69","242.14","228.55","46.82K","1.28%"
"Jun 04, 2018","235.64","253.39","255.59","232.54","72.71K","-7.01%"
"Jun 03, 2018","253.42","249.88","259.59","248.64","62.64K","1.41%"
"Jun 02, 2018","249.89","240.18","257.77","238.26","85.20K","4.03%"
"Jun 01, 2018","240.20","240.93","242.33","234.10","66.97K","-0.32%"
"May 31, 2018","240.97","242.27","249.15","238.64","58.00K","-0.53%"
"May 30, 2018","242.24","246.85","256.85","236.62","42.95K","-1.87%"
"May 29, 2018","246.85","228.76","259.64","219.72","69.63K","7.86%"
"May 28, 2018","228.87","262.89","266.30","220.64","92.29K","-12.89%"
"May 27, 2018","262.75","272.68","272.88","260.11","48.94K","-3.62%"
"May 26, 2018","272.61","282.87","285.77","272.52","45.56K","-3.63%"
"May 25, 2018","282.88","295.82","297.13","274.47","54.01K","-4.22%"
"May 24, 2018","295.33","285.33","300.16","268.83","101.27K","3.35%"
"May 23, 2018","285.77","312.12","334.16","279.60","159.29K","-8.43%"
"May 22, 2018","312.07","327.83","348.69","307.07","134.72K","-4.82%"
"May 21, 2018","327.86","350.84","352.03","324.18","61.85K","-6.47%"
"May 20, 2018","350.53","343.61","360.57","338.73","94.21K","2.01%"
"May 19, 2018","343.61","358.66","378.14","341.47","133.27K","-4.19%"
"May 18, 2018","358.65","314.66","368.61","303.71","260.84K","13.98%"
"May 17, 2018","314.65","366.17","368.43","310.13","121.14K","-14.07%"
"May 16, 2018","366.17","353.52","377.61","325.19","264.89K","3.59%"
"May 15, 2018","353.48","310.38","386.71","308.05","350.80K","13.89%"
"May 14, 2018","310.36","261.65","344.14","246.50","278.73K","18.62%"
"May 13, 2018","261.65","247.76","263.94","244.28","28.79K","5.80%"
"May 12, 2018","247.30","239.19","253.86","232.06","33.26K","3.39%"
"May 11, 2018","239.20","263.33","263.33","238.80","53.16K","-9.16%"
"May 10, 2018","263.33","276.91","288.55","263.27","41.69K","-4.82%"
"May 09, 2018","276.65","275.49","278.18","267.37","37.31K","0.40%"
"May 08, 2018","275.54","289.07","291.32","272.89","36.54K","-1.99%"
"May 07, 2018","281.13","292.08","292.92","272.89","45.24K","-3.77%"
"May 06, 2018","292.15","307.23","311.48","288.46","47.41K","-5.00%"
"May 05, 2018","307.53","296.11","310.37","295.99","43.59K","3.84%"
"May 04, 2018","296.16","308.27","308.27","292.95","46.69K","-3.92%"
"May 03, 2018","308.26","293.90","312.93","292.49","57.73K","4.87%"
"May 02, 2018","293.95","291.75","294.59","286.13","38.89K","0.75%"
"May 01, 2018","291.75","284.48","291.90","271.93","40.51K","2.58%"
"Apr 30, 2018","284.41","293.65","296.64","282.82","43.14K","-3.14%"
"Apr 29, 2018","293.64","295.93","303.93","283.42","36.36K","-0.77%"
"Apr 28, 2018","295.93","281.99","297.66","281.64","38.40K","4.90%"
"Apr 27, 2018","282.11","302.97","303.48","279.52","44.27K","-6.98%"
"Apr 26, 2018","303.29","284.14","303.42","275.01","46.66K","6.74%"
"Apr 25, 2018","284.14","316.52","316.65","267.15","73.64K","-10.31%"
"Apr 24, 2018","316.78","300.27","329.72","299.57","79.26K","5.50%"
"Apr 23, 2018","300.27","272.72","300.34","271.15","58.04K","10.10%"
"Apr 22, 2018","272.72","270.35","281.62","264.86","41.06K","0.89%"
"Apr 21, 2018","270.32","282.30","283.11","254.40","56.88K","-4.24%"
"Apr 20, 2018","282.30","264.84","285.76","255.82","64.27K","6.57%"
"Apr 19, 2018","264.90","248.57","266.22","241.74","56.40K","6.55%"
"Apr 18, 2018","248.61","222.36","250.10","222.36","66.50K","11.75%"
"Apr 17, 2018","222.46","225.70","229.23","221.12","47.20K","-1.43%"
"Apr 16, 2018","225.70","233.03","235.41","219.17","49.52K","-3.18%"
"Apr 15, 2018","233.11","223.11","235.74","222.93","49.25K","4.48%"
"Apr 14, 2018","223.11","229.47","239.94","219.20","62.57K","-2.77%"
"Apr 13, 2018","229.47","217.77","243.89","211.95","84.17K","5.37%"
"Apr 12, 2018","217.77","185.71","218.82","183.83","75.15K","17.24%"
"Apr 11, 2018","185.75","181.25","185.90","180.83","45.84K","2.53%"
"Apr 10, 2018","181.16","179.17","181.76","176.26","39.24K","1.13%"
"Apr 09, 2018","179.13","185.86","190.40","176.67","44.31K","-3.69%"
