"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","17.6811","16.2723","17.9248","16.2597","-","8.65%"
"Jun 29, 2018","16.2731","15.6544","16.4444","15.3329","-","3.79%"
"Jun 28, 2018","15.6795","16.9024","17.2907","15.5832","-","-7.24%"
"Jun 27, 2018","16.9025","16.1647","17.4402","16.0078","-","4.23%"
"Jun 26, 2018","16.2160","16.6786","16.6815","16.1224","-","-2.71%"
"Jun 25, 2018","16.6677","16.5203","17.0756","16.1152","-","0.86%"
"Jun 24, 2018","16.5257","17.2170","17.2613","14.8764","-","-3.89%"
"Jun 23, 2018","17.1947","17.4268","17.7514","17.0843","-","-1.47%"
"Jun 22, 2018","17.4505","18.6003","18.6262","16.3573","-","-5.84%"
"Jun 21, 2018","18.5334","19.7763","19.9396","18.4657","-","-6.85%"
"Jun 20, 2018","19.8966","19.6755","20.0675","19.0752","-","1.01%"
"Jun 19, 2018","19.6977","19.5033","19.8846","19.4003","-","1.03%"
"Jun 18, 2018","19.4964","19.1198","19.7425","18.2680","-","2.05%"
"Jun 17, 2018","19.1044","19.0458","19.6440","18.8774","-","0.34%"
"Jun 16, 2018","19.0399","18.9491","19.5474","18.4361","-","0.53%"
"Jun 15, 2018","18.9402","19.5003","20.9775","18.7767","-","-2.70%"
"Jun 14, 2018","19.4650","17.1248","21.0182","16.8238","-","13.73%"
"Jun 13, 2018","17.1149","17.2055","18.0436","16.0906","-","-0.50%"
"Jun 12, 2018","17.2017","19.3420","19.4578","17.0866","-","-11.10%"
"Jun 11, 2018","19.3495","17.9171","19.4196","16.9100","-","8.65%"
"Jun 10, 2018","17.8090","21.3438","21.3438","17.4879","-","-16.49%"
"Jun 09, 2018","21.3253","22.8136","22.8663","21.1506","-","-6.52%"
"Jun 08, 2018","22.8133","23.1574","23.9130","22.0207","-","-1.22%"
"Jun 07, 2018","23.0940","22.7152","24.0146","21.8657","-","1.69%"
"Jun 06, 2018","22.7109","23.3789","23.5068","21.1856","-","-2.93%"
"Jun 05, 2018","23.3965","26.5906","27.1540","21.8743","-","-11.80%"
"Jun 04, 2018","26.5252","29.1438","29.3442","26.3033","-","-8.99%"
"Jun 03, 2018","29.1442","30.0961","30.6432","28.6276","-","-2.93%"
"Jun 02, 2018","30.0233","31.4064","31.4064","29.7248","-","-4.79%"
"Jun 01, 2018","31.5343","30.6133","31.9763","29.7826","-","3.58%"
"May 31, 2018","30.4441","30.2061","31.2076","29.4855","-","1.24%"
"May 30, 2018","30.0700","30.8269","31.5745","29.3678","-","-2.41%"
"May 29, 2018","30.8114","29.0922","32.6076","27.6347","-","5.97%"
"May 28, 2018","29.0744","32.6729","33.9702","28.9172","-","-11.01%"
"May 27, 2018","32.6704","36.0759","36.0759","32.0314","-","-9.42%"
"May 26, 2018","36.0689","38.2670","40.2329","35.7106","-","-5.63%"
"May 25, 2018","38.2212","34.7629","40.2432","31.8038","-","9.99%"
"May 24, 2018","34.7482","31.0231","36.2090","30.6542","-","11.27%"
"May 23, 2018","31.2300","32.7228","50.3740","30.6573","-","-4.61%"
"May 22, 2018","32.7376","32.4708","35.8135","32.2966","-","0.86%"
"May 21, 2018","32.4570","30.4955","35.0842","30.1283","-","6.43%"
"May 20, 2018","30.4963","28.5409","30.7047","28.0196","-","6.81%"
"May 19, 2018","28.5508","28.4996","29.0154","27.8147","-","0.17%"
"May 18, 2018","28.5012","26.4801","29.1043","25.9422","-","7.51%"
"May 17, 2018","26.5100","28.3529","29.3122","25.9516","-","-6.68%"
"May 16, 2018","28.4090","30.3076","30.3076","27.3260","-","-5.36%"
