"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.069312","0.065496","0.070912","0.065487","-","5.68%"
"Jun 29, 2018","0.065589","0.059400","0.067063","0.058781","-","9.43%"
"Jun 28, 2018","0.059935","0.064439","0.069371","0.058607","-","-6.92%"
"Jun 27, 2018","0.064393","0.062165","0.065150","0.060907","-","3.18%"
"Jun 26, 2018","0.062409","0.065913","0.075049","0.062194","-","-5.46%"
"Jun 25, 2018","0.066016","0.060550","0.075466","0.059422","-","9.22%"
"Jun 24, 2018","0.060445","0.067556","0.067947","0.054478","-","-10.54%"
"Jun 23, 2018","0.067564","0.069430","0.071462","0.066027","-","-2.81%"
"Jun 22, 2018","0.069516","0.084311","0.084527","0.068002","-","-17.44%"
"Jun 21, 2018","0.084205","0.088522","0.089280","0.083652","-","-4.74%"
"Jun 20, 2018","0.088399","0.089431","0.092085","0.083889","-","-1.30%"
"Jun 19, 2018","0.089561","0.087567","0.092038","0.085671","-","2.41%"
"Jun 18, 2018","0.087454","0.084081","0.090104","0.082294","-","3.97%"
"Jun 17, 2018","0.084114","0.085045","0.087630","0.083775","-","-0.96%"
"Jun 16, 2018","0.084932","0.085367","0.087426","0.083373","-","-0.50%"
"Jun 15, 2018","0.085357","0.092989","0.093401","0.084911","-","-8.19%"
"Jun 14, 2018","0.092974","0.083990","0.093736","0.082784","-","10.70%"
"Jun 13, 2018","0.083985","0.090610","0.091059","0.076509","-","-7.21%"
"Jun 12, 2018","0.090511","0.103609","0.103609","0.088374","-","-12.55%"
"Jun 11, 2018","0.103502","0.101849","0.104395","0.094545","-","1.76%"
"Jun 10, 2018","0.101710","0.120313","0.120313","0.097231","-","-15.41%"
"Jun 09, 2018","0.120233","0.126297","0.128473","0.119403","-","-4.74%"
"Jun 08, 2018","0.126214","0.130588","0.131420","0.123292","-","-3.25%"
"Jun 07, 2018","0.130453","0.130752","0.138165","0.128966","-","-0.58%"
"Jun 06, 2018","0.131211","0.127260","0.133531","0.122946","-","3.49%"
"Jun 05, 2018","0.126786","0.120649","0.127918","0.115431","-","4.93%"
"Jun 04, 2018","0.120827","0.127084","0.128788","0.116040","-","-4.92%"
"Jun 03, 2018","0.127076","0.119421","0.133239","0.119292","-","6.65%"
"Jun 02, 2018","0.119154","0.111913","0.120518","0.110956","-","6.43%"
"Jun 01, 2018","0.111951","0.112699","0.113660","0.108210","-","-0.67%"
"May 31, 2018","0.112710","0.110272","0.115436","0.107825","-","2.27%"
"May 30, 2018","0.110204","0.111776","0.118296","0.105110","-","-1.16%"
"May 29, 2018","0.111501","0.098948","0.114376","0.096389","-","12.84%"
"May 28, 2018","0.098811","0.115930","0.118130","0.098811","-","-14.94%"
"May 27, 2018","0.116171","0.118259","0.118368","0.114005","-","-1.74%"
"May 26, 2018","0.118232","0.120338","0.123631","0.117614","-","-1.78%"
"May 25, 2018","0.120371","0.125043","0.125228","0.117357","-","-3.67%"
