"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.75863","0.66559","0.82509","0.66288","2.45M","13.99%"
"Jun 29, 2018","0.66553","0.60957","0.68256","0.58379","1.92M","9.18%"
"Jun 28, 2018","0.60957","0.64576","0.66316","0.60478","1.48M","-5.62%"
"Jun 27, 2018","0.64589","0.62727","0.64694","0.61104","1.46M","3.14%"
"Jun 26, 2018","0.62620","0.70258","0.70707","0.62590","1.58M","-10.87%"
"Jun 25, 2018","0.70258","0.67764","0.70580","0.65454","1.36M","3.60%"
"Jun 24, 2018","0.67816","0.72461","0.72861","0.60144","1.70M","-6.41%"
"Jun 23, 2018","0.72460","0.73687","0.75724","0.69348","1.29M","-1.61%"
"Jun 22, 2018","0.73644","0.85289","0.85526","0.69185","1.55M","-13.42%"
"Jun 21, 2018","0.85057","0.87851","0.89281","0.84664","1.22M","-3.11%"
"Jun 20, 2018","0.87788","0.87742","0.89942","0.83526","1.15M","-0.05%"
"Jun 19, 2018","0.87832","0.87075","0.91457","0.83913","1.51M","0.82%"
"Jun 18, 2018","0.87122","0.83954","0.89026","0.81227","1.39M","3.77%"
"Jun 17, 2018","0.83953","0.87217","0.88984","0.83772","1.38M","-3.74%"
"Jun 16, 2018","0.87215","0.87576","0.89173","0.83645","1.54M","-0.37%"
"Jun 15, 2018","0.87539","0.94173","0.95769","0.86868","1.37M","-7.04%"
"Jun 14, 2018","0.94172","0.81631","0.98196","0.80985","1.51M","15.33%"
"Jun 13, 2018","0.81654","0.89994","0.91881","0.79617","1.54M","-9.36%"
"Jun 12, 2018","0.90084","1.06146","1.06342","0.88445","1.64M","-15.25%"
"Jun 11, 2018","1.06292","1.05443","1.07656","1.00227","1.35M","0.87%"
"Jun 10, 2018","1.05377","1.22662","1.22691","1.01916","1.39M","-14.13%"
"Jun 09, 2018","1.22723","1.27292","1.28558","1.22438","1.13M","-3.59%"
"Jun 08, 2018","1.27291","1.28281","1.29820","1.23579","1.22M","-0.76%"
"Jun 07, 2018","1.28272","1.32494","1.34507","1.27755","1.30M","-3.19%"
"Jun 06, 2018","1.32495","1.26394","1.32877","1.24608","1.47M","4.83%"
"Jun 05, 2018","1.26386","1.23777","1.28116","1.18498","1.40M","1.96%"
"Jun 04, 2018","1.23960","1.34679","1.36272","1.21690","1.25M","-7.91%"
"Jun 03, 2018","1.34612","1.27481","1.37169","1.27481","1.16M","5.59%"
"Jun 02, 2018","1.27481","1.24908","1.30492","1.23435","1.04M","2.06%"
"Jun 01, 2018","1.24908","1.27250","1.29578","1.21930","1.09M","-1.87%"
"May 31, 2018","1.27283","1.22590","1.33336","1.20864","1.16M","3.83%"
"May 30, 2018","1.22587","1.24605","1.44499","1.19438","2.03M","-1.72%"
"May 29, 2018","1.24738","1.03133","1.30278","1.03077","1.43M","20.91%"
"May 28, 2018","1.03165","1.17839","1.23260","1.01826","1.14M","-12.45%"
"May 27, 2018","1.17839","1.21206","1.21619","1.14284","1.05M","-2.78%"
"May 26, 2018","1.21205","1.27055","1.30665","1.20967","1.18M","-4.61%"
"May 25, 2018","1.27057","1.35885","1.43424","1.25761","1.13M","-6.50%"
"May 24, 2018","1.35892","1.32375","1.50945","1.16689","2.20M","2.71%"
"May 23, 2018","1.32310","1.15000","1.55786","1.01048","2.25M","15.06%"
"May 22, 2018","1.14993","1.32949","1.33133","1.13692","1.09M","-13.47%"
"May 21, 2018","1.32893","1.45837","1.46189","1.30487","1.10M","-8.82%"
"May 20, 2018","1.45755","1.44918","1.46262","1.37683","1.13M","0.58%"
"May 19, 2018","1.44918","1.30143","1.50137","1.26129","1.17M","11.35%"
"May 18, 2018","1.30143","1.24370","1.32414","1.20348","991.23K","4.52%"
"May 17, 2018","1.24520","1.36785","1.46140","1.23436","1.01M","-8.68%"
"May 16, 2018","1.36354","1.48332","1.48440","1.30025","1.08M","-8.08%"
"May 15, 2018","1.48332","1.54936","1.59220","1.47475","1.22M","-4.26%"
"May 14, 2018","1.54936","1.74124","1.74230","1.50781","1.35M","-11.02%"
"May 13, 2018","1.74124","1.64561","1.78511","1.56096","984.66K","6.07%"
"May 12, 2018","1.64160","1.67090","1.74147","1.52749","1.33M","-1.75%"
"May 11, 2018","1.67090","1.84821","1.93173","1.52804","1.63M","-9.56%"
"May 10, 2018","1.84746","1.71723","2.02983","1.71581","1.64M","7.62%"
"May 09, 2018","1.71659","1.72736","1.79676","1.54645","1.49M","-0.87%"
"May 08, 2018","1.73174","1.76345","1.84359","1.42910","1.45M","0.23%"
"May 07, 2018","1.72772","1.59889","1.73068","1.47520","1.29M","8.06%"
"May 06, 2018","1.59889","1.65466","1.65466","1.42586","1.44M","-3.99%"
"May 05, 2018","1.66542","1.73640","1.74670","1.56627","1.44M","-4.09%"
"May 04, 2018","1.73640","1.47425","1.75531","1.43904","1.82M","17.61%"
"May 03, 2018","1.47641","1.31843","1.50366","1.31367","1.38M","12.03%"
"May 02, 2018","1.31785","1.19023","1.32429","1.17846","452.49K","10.72%"
"May 01, 2018","1.19023","1.18362","1.19416","1.09957","386.38K","0.56%"
"Apr 30, 2018","1.18362","1.28714","1.33567","1.16229","598.19K","-8.04%"
"Apr 29, 2018","1.28714","1.20103","1.31337","1.16070","653.32K","7.17%"
"Apr 28, 2018","1.20103","1.07070","1.20354","1.06352","644.73K","12.21%"
"Apr 27, 2018","1.07038","1.14092","1.17040","1.06724","802.14K","-6.18%"
"Apr 26, 2018","1.14092","1.03169","1.14499","0.98788","779.16K","10.59%"
"Apr 25, 2018","1.03169","1.17457","1.17502","0.93128","870.82K","-12.16%"
"Apr 24, 2018","1.17458","1.00676","1.19054","0.99772","734.65K","16.73%"
"Apr 23, 2018","1.00626","1.00188","1.04884","0.97951","445.15K","0.56%"
"Apr 22, 2018","1.00065","0.92696","1.03692","0.91280","388.06K","7.95%"
"Apr 21, 2018","0.92696","0.98273","0.99469","0.85344","750.18K","-5.70%"
"Apr 20, 2018","0.98294","0.92121","0.99124","0.91061","773.25K","6.69%"
"Apr 19, 2018","0.92129","0.93629","0.93699","0.89487","587.19K","-1.33%"
"Apr 18, 2018","0.93369","0.85423","0.94078","0.83958","375.90K","9.44%"
"Apr 17, 2018","0.85316","0.75398","0.88975","0.75123","312.98K","13.15%"
"Apr 16, 2018","0.75401","0.80342","0.81775","0.73099","297.01K","-6.15%"
"Apr 15, 2018","0.80342","0.75008","0.80442","0.74820","283.82K","7.28%"
"Apr 14, 2018","0.74893","0.69056","0.75483","0.68070","314.76K","8.45%"
"Apr 13, 2018","0.69056","0.70741","0.75829","0.66769","516.61K","-2.42%"
"Apr 12, 2018","0.70769","0.60691","0.70873","0.59446","408.76K","16.55%"
"Apr 11, 2018","0.60720","0.57217","0.63882","0.56905","493.44K","6.01%"
"Apr 10, 2018","0.57275","0.55110","0.57838","0.54666","269.14K","3.92%"
"Apr 09, 2018","0.55117","0.57758","0.61031","0.54059","324.16K","-5.25%"
"Apr 08, 2018","0.58168","0.55399","0.59740","0.54712","290.46K","5.00%"
"Apr 07, 2018","0.55399","0.52671","0.56332","0.52537","340.47K","5.18%"
"Apr 06, 2018","0.52671","0.55394","0.55897","0.51169","311.46K","-4.65%"
"Apr 05, 2018","0.55241","0.53565","0.69897","0.51782","429.32K","3.57%"
"Apr 04, 2018","0.53339","0.60448","0.60802","0.52059","338.72K","-11.76%"
"Apr 03, 2018","0.60448","0.53943","0.63702","0.52904","393.98K","12.06%"
"Apr 02, 2018","0.53943","0.51492","0.55857","0.51126","307.45K","5.34%"
"Apr 01, 2018","0.51208","0.55573","0.58230","0.48085","340.40K","-7.85%"
"Mar 31, 2018","0.55568","0.51833","0.56754","0.51504","345.61K","7.47%"
"Mar 30, 2018","0.51707","0.55132","0.55508","0.49499","371.59K","-6.26%"
"Mar 29, 2018","0.55159","0.63854","0.66335","0.52686","332.45K","-13.62%"
"Mar 28, 2018","0.63853","0.64800","0.65771","0.60562","386.36K","-1.46%"
"Mar 27, 2018","0.64800","0.66686","0.70403","0.57181","635.05K","-3.14%"
"Mar 26, 2018","0.66902","0.60759","0.74958","0.51330","493.33K","10.47%"
"Mar 25, 2018","0.60559","0.60211","0.63150","0.56785","346.42K","0.52%"
"Mar 24, 2018","0.60243","0.56564","0.62831","0.55943","341.49K","6.50%"
"Mar 23, 2018","0.56564","0.58545","0.58869","0.51947","366.95K","-3.38%"
"Mar 22, 2018","0.58545","0.59129","0.63822","0.56129","322.58K","-1.45%"
"Mar 21, 2018","0.59408","0.54352","0.62806","0.54166","349.44K","9.21%"
"Mar 20, 2018","0.54397","0.46729","0.57607","0.46514","309.04K","16.41%"
"Mar 19, 2018","0.46729","0.44426","0.47242","0.44158","380.11K","5.19%"
"Mar 18, 2018","0.44425","0.45299","0.45311","0.36618","475.44K","-1.93%"
"Mar 17, 2018","0.45299","0.51926","0.51926","0.45204","355.11K","-12.76%"
"Mar 16, 2018","0.51926","0.49280","0.53540","0.47493","395.24K","5.37%"
"Mar 15, 2018","0.49280","0.53430","0.53921","0.47372","379.90K","-7.65%"
"Mar 14, 2018","0.53359","0.59905","0.61779","0.53120","345.67K","-10.93%"
"Mar 13, 2018","0.59905","0.63470","0.66148","0.59108","273.20K","-5.89%"
"Mar 12, 2018","0.63653","0.68286","0.71262","0.62587","316.39K","-6.79%"
"Mar 11, 2018","0.68286","0.64263","0.68818","0.62396","270.49K","6.26%"
"Mar 10, 2018","0.64263","0.65557","0.73302","0.64013","310.54K","-1.97%"
"Mar 09, 2018","0.65557","0.64867","0.66070","0.58966","338.22K","1.06%"
"Mar 08, 2018","0.64867","0.71430","0.76745","0.64855","327.21K","-8.95%"
"Mar 07, 2018","0.71242","0.79577","0.80480","0.69528","314.58K","-10.40%"
"Mar 06, 2018","0.79508","0.90102","0.90102","0.78724","300.92K","-11.76%"
"Mar 05, 2018","0.90102","0.93363","0.94061","0.89799","215.89K","-3.49%"
"Mar 04, 2018","0.93363","0.93004","0.93609","0.90291","229.68K","0.39%"
"Mar 03, 2018","0.93004","0.94453","0.97898","0.92192","208.83K","-1.53%"
"Mar 02, 2018","0.94453","0.96709","1.01781","0.93820","238.31K","-2.33%"
"Mar 01, 2018","0.96704","0.92862","0.98048","0.89040","211.40K","4.14%"
"Feb 28, 2018","0.92862","0.99444","1.02100","0.92714","260.08K","-6.75%"
"Feb 27, 2018","0.99586","1.03304","1.16673","0.99434","276.99K","-3.60%"
"Feb 26, 2018","1.03304","0.98021","1.09864","0.95177","205.55K","5.39%"
"Feb 25, 2018","0.98021","0.92915","1.02038","0.88853","260.43K","5.50%"
"Feb 24, 2018","0.92915","0.98887","1.06681","0.89917","259.11K","-6.04%"
"Feb 23, 2018","0.98887","0.92195","0.99943","0.87296","241.91K","7.26%"
"Feb 22, 2018","0.92194","0.95826","1.02158","0.88172","285.59K","-3.79%"
"Feb 21, 2018","0.95826","1.03621","1.06228","0.93046","325.61K","-7.52%"
"Feb 20, 2018","1.03621","1.18890","1.22005","1.03044","271.69K","-12.84%"
"Feb 19, 2018","1.18890","1.17970","1.23204","1.16912","215.04K","0.78%"
"Feb 18, 2018","1.17970","1.28220","1.29701","1.13335","249.85K","-7.99%"
"Feb 17, 2018","1.28220","1.29787","1.30816","1.21951","222.48K","-1.37%"
"Feb 16, 2018","1.30003","1.39591","1.40365","1.15278","339.46K","-6.28%"
"Feb 15, 2018","1.38713","1.07373","1.41020","1.00839","312.78K","27.51%"
"Feb 14, 2018","1.08790","0.97613","1.38088","0.96641","674.92K","11.45%"
"Feb 13, 2018","0.97613","1.03935","1.04741","0.95371","302.80K","-6.08%"
"Feb 12, 2018","1.03935","0.99219","1.09873","0.98700","259.09K","4.75%"
"Feb 11, 2018","0.99219","1.08581","1.10220","0.93033","284.48K","-8.62%"
"Feb 10, 2018","1.08581","1.14354","1.19371","0.98773","290.60K","-5.05%"
"Feb 09, 2018","1.14354","1.08300","1.23519","1.00425","385.32K","5.59%"
"Feb 08, 2018","1.08300","1.00043","1.13922","0.99304","299.65K","8.25%"
"Feb 07, 2018","1.00043","1.01590","1.15245","0.90799","312.46K","-1.52%"
"Feb 06, 2018","1.01590","0.82249","1.02896","0.65727","470.41K","23.39%"
"Feb 05, 2018","0.82335","1.15396","1.16721","0.75881","413.41K","-28.93%"
"Feb 04, 2018","1.15851","1.38353","1.39771","1.07060","387.43K","-16.26%"
"Feb 03, 2018","1.38353","1.31680","1.49101","1.16688","240.12K","5.07%"
"Feb 02, 2018","1.31680","1.62978","1.63924","1.09633","323.92K","-18.48%"
"Feb 01, 2018","1.61535","1.87404","1.91367","1.48789","58.64K","-12.42%"
"Jan 31, 2018","1.84441","1.63816","1.84807","1.54925","48.29K","12.59%"
"Jan 30, 2018","1.63816","1.87032","1.87032","1.51716","76.48K","-12.41%"
"Jan 29, 2018","1.87032","2.04785","2.04785","1.81885","26.61K","-8.67%"
"Jan 28, 2018","2.04785","2.15460","2.15460","2.00544","35.80K","-4.95%"
"Jan 27, 2018","2.15460","2.00000","2.20000","1.93670","175.32K","7.73%"
"Jan 26, 2018","2.00000","1.62677","2.06629","1.54925","229.63K","22.94%"
"Jan 25, 2018","1.62677","1.67613","1.77232","1.58201","176.52K","-2.94%"
"Jan 24, 2018","1.67613","1.60742","1.72400","1.53848","79.47K","4.27%"
"Jan 23, 2018","1.60742","1.65290","1.73562","1.54925","56.73K","-2.75%"
"Jan 22, 2018","1.65290","1.68786","1.76000","1.51716","84.96K","-2.07%"
"Jan 21, 2018","1.68786","2.04785","2.04785","1.63816","99.97K","-17.58%"
"Jan 20, 2018","2.04785","1.76978","2.09532","1.74430","77.43K","15.71%"
"Jan 19, 2018","1.76978","1.56319","1.87404","1.48574","124.14K","13.22%"
"Jan 18, 2018","1.56319","1.52018","1.71157","1.46516","238.52K","2.84%"
"Jan 17, 2018","1.52000","1.49000","1.62000","1.15000","179.14K","2.01%"
"Jan 16, 2018","1.49000","1.72000","1.75000","1.09000","825.81K","-13.37%"
"Jan 15, 2018","1.72000","1.93000","2.11000","1.71000","146.81K","-10.88%"
"Jan 14, 2018","1.93000","2.20000","2.33000","1.87000","91.51K","-12.27%"
"Jan 13, 2018","2.20000","2.06000","2.43000","2.01000","121.22K","6.80%"
"Jan 12, 2018","2.06000","1.79000","2.10000","1.72000","94.37K","15.08%"
"Jan 11, 2018","1.79000","2.12000","2.14000","1.57000","125.52K","-15.57%"
"Jan 10, 2018","2.12000","2.02000","2.34000","1.59000","184.12K","4.95%"
"Jan 09, 2018","2.02000","1.83000","2.38000","1.72000","560.08K","10.38%"
"Jan 08, 2018","1.83000","1.38000","1.98000","1.12000","351.73K","32.61%"
"Jan 07, 2018","1.38000","1.37000","1.51000","1.35000","106.74K","0.73%"
"Jan 06, 2018","1.37000","1.14000","1.46000","1.07000","203.20K","20.18%"
"Jan 05, 2018","1.14000","0.97490","1.20000","0.96710","364.12K","16.94%"
"Jan 04, 2018","0.97490","0.85900","0.98960","0.79550","548.93K","13.49%"
"Jan 03, 2018","0.85900","0.82950","0.99200","0.77370","594.59K","3.56%"
"Jan 02, 2018","0.82950","0.88420","1.02000","0.77370","600.68K","-6.19%"
"Jan 01, 2018","0.88420","0.88420","1.00000","0.85300","499.88K","0.00%"
"Dec 31, 2017","0.88420","0.67600","0.92290","0.67290","597.41K","30.80%"
"Dec 30, 2017","0.67600","0.67360","0.67900","0.57990","582.08K","0.36%"
"Dec 29, 2017","0.67360","0.63770","0.69330","0.61460","620.09K","5.63%"
"Dec 28, 2017","0.63770","0.66430","0.69330","0.57720","686.75K","-4.00%"
"Dec 27, 2017","0.66430","0.63820","0.70800","0.61030","737.48K","4.09%"
"Dec 26, 2017","0.63820","0.68430","0.69460","0.57420","971.12K","-6.74%"
"Dec 25, 2017","0.68430","0.60420","0.70920","0.60000","577.43K","13.26%"
"Dec 24, 2017","0.60420","0.65170","0.65690","0.52080","721.30K","-7.29%"
"Dec 23, 2017","0.65170","0.53980","0.74000","0.52440","772.76K","20.73%"
"Dec 22, 2017","0.53980","0.43790","0.54790","0.35730","727.62K","23.27%"
"Dec 21, 2017","0.43790","0.49990","0.49990","0.34030","1.04M","-12.40%"
"Dec 20, 2017","0.49990","0.51860","0.54030","0.40340","1.06M","-3.61%"
"Dec 19, 2017","0.51860","0.52800","0.56500","0.47360","1.20M","-1.78%"
"Dec 18, 2017","0.52800","0.43910","0.52800","0.41480","1.00M","20.25%"
"Dec 17, 2017","0.43910","0.37660","0.48120","0.37360","977.05K","16.60%"
"Dec 16, 2017","0.37660","0.35620","0.38770","0.34360","964.04K","5.73%"
"Dec 15, 2017","0.35620","0.36570","0.37440","0.30100","1.02M","-2.60%"
"Dec 14, 2017","0.36570","0.32670","0.38390","0.31300","1.32M","11.94%"
"Dec 13, 2017","0.32670","0.24480","0.32930","0.23840","1.70M","33.46%"
"Dec 12, 2017","0.24480","0.23030","0.25620","0.22390","1.30M","6.30%"
"Dec 11, 2017","0.23030","0.22420","0.24000","0.21480","1.12M","2.72%"
"Dec 10, 2017","0.22420","0.22890","0.23230","0.19750","1.08M","-2.05%"
"Dec 09, 2017","0.22890","0.25240","0.26340","0.22550","1.14M","-9.31%"
"Dec 08, 2017","0.25240","0.24740","0.25440","0.20010","1.20M","2.02%"
"Dec 07, 2017","0.24740","0.25440","0.25980","0.20450","1.32M","-2.75%"
"Dec 06, 2017","0.25440","0.21650","0.27470","0.21480","1.40M","17.51%"
"Dec 05, 2017","0.21650","0.22280","0.22440","0.20740","976.30K","-2.83%"
"Dec 04, 2017","0.22280","0.20930","0.22280","0.20600","979.02K","6.45%"
"Dec 03, 2017","0.20930","0.21200","0.22100","0.19750","1.31M","-1.27%"
"Dec 02, 2017","0.21200","0.19790","0.22280","0.19210","1.26M","7.12%"
"Dec 01, 2017","0.19790","0.18850","0.20350","0.18170","1.24M","4.99%"
"Nov 30, 2017","0.18850","0.19230","0.20780","0.17670","1.53M","-1.98%"
"Nov 29, 2017","0.19230","0.22260","0.22600","0.18500","1.83M","-13.61%"
"Nov 28, 2017","0.22260","0.23070","0.23110","0.22080","1.42M","-3.51%"
"Nov 27, 2017","0.23070","0.22280","0.23070","0.20740","1.37M","3.55%"
"Nov 26, 2017","0.22280","0.22310","0.22910","0.21100","809.39K","-0.13%"
"Nov 25, 2017","0.22310","0.23290","0.23640","0.22160","1.06M","-4.21%"
"Nov 24, 2017","0.23290","0.21720","0.23310","0.20810","1.10M","7.23%"
"Nov 23, 2017","0.21720","0.22490","0.23000","0.21100","1.26M","-3.42%"
"Nov 22, 2017","0.22490","0.19680","0.22510","0.19410","1.19M","14.28%"
"Nov 21, 2017","0.19680","0.20140","0.20420","0.19410","1.21M","-2.28%"
"Nov 20, 2017","0.20140","0.19700","0.20420","0.19270","1.38M","2.23%"
"Nov 19, 2017","0.19700","0.20260","0.20710","0.19540","1.39M","-2.76%"
"Nov 18, 2017","0.20260","0.18370","0.20560","0.18230","1.28M","10.29%"
"Nov 17, 2017","0.18370","0.19160","0.19380","0.18230","1.72M","-4.12%"
"Nov 16, 2017","0.19160","0.19700","0.21000","0.18740","1.81M","-2.74%"
"Nov 15, 2017","0.19700","0.19560","0.20710","0.19540","1.04M","0.72%"
"Nov 14, 2017","0.19560","0.19290","0.19860","0.19010","667.20K","1.40%"
"Nov 13, 2017","0.19290","0.18780","0.20560","0.18350","470.87K","2.72%"
"Nov 12, 2017","0.18780","0.19700","0.19700","0.17240","1.32M","-4.67%"
"Nov 11, 2017","0.19700","0.19980","0.21000","0.19680","802.37K","-1.40%"
"Nov 10, 2017","0.19980","0.22790","0.23480","0.19060","833.94K","-12.33%"
"Nov 09, 2017","0.22790","0.20140","0.24650","0.20140","1.11M","13.16%"
"Nov 08, 2017","0.20140","0.19520","0.20280","0.19410","74.70K","3.18%"
"Nov 07, 2017","0.19520","0.17740","0.19860","0.17600","773.40K","10.03%"
"Nov 06, 2017","0.17740","0.17410","0.18390","0.17200","1.52M","1.90%"
"Nov 05, 2017","0.17410","0.18100","0.18390","0.17300","1.46M","-3.81%"
"Nov 04, 2017","0.18100","0.18000","0.19040","0.17480","1.65M","0.56%"
"Nov 03, 2017","0.18000","0.16400","0.18000","0.16400","961.09K","9.76%"
"Nov 02, 2017","0.16400","0.16850","0.17120","0.16050","547.99K","-2.67%"
"Nov 01, 2017","0.16850","0.17210","0.21000","0.16850","1.58M","-2.09%"
"Oct 31, 2017","0.17210","0.18880","0.19140","0.17210","1.21M","-8.85%"
"Oct 30, 2017","0.18880","0.19100","0.19960","0.18510","1.28M","-1.15%"
"Oct 29, 2017","0.19100","0.19390","0.20520","0.18580","1.58M","-1.50%"
"Oct 28, 2017","0.19390","0.18860","0.19550","0.18510","1.54M","2.81%"
"Oct 27, 2017","0.18860","0.19260","0.19410","0.18500","1.95M","-2.08%"
"Oct 26, 2017","0.19260","0.19820","0.20520","0.19020","1.48M","-2.83%"
"Oct 25, 2017","0.19820","0.19780","0.20310","0.19020","1.56M","0.20%"
"Oct 24, 2017","0.19780","0.19060","0.21000","0.18500","2.05M","3.78%"
"Oct 23, 2017","0.19060","0.20510","0.20520","0.18900","1.84M","-7.07%"
"Oct 22, 2017","0.20510","0.20220","0.20720","0.19920","1.59M","1.43%"
"Oct 21, 2017","0.20220","0.21230","0.21400","0.19780","1.51M","-4.76%"
"Oct 20, 2017","0.21230","0.22630","0.22790","0.21060","1.50M","-6.19%"
"Oct 19, 2017","0.22630","0.21700","0.22950","0.21360","1.38M","4.29%"
"Oct 18, 2017","0.21700","0.22140","0.22790","0.19780","1.91M","-1.99%"
"Oct 17, 2017","0.22140","0.20080","0.23000","0.18710","2.31M","10.26%"
"Oct 16, 2017","0.20080","0.19660","0.20380","0.18840","2.58M","2.14%"
"Oct 15, 2017","0.19660","0.19570","0.20150","0.18690","805.28K","0.46%"
"Oct 14, 2017","0.19570","0.19990","0.20010","0.18880","586.87K","-2.10%"
"Oct 13, 2017","0.19990","0.18640","0.20500","0.18360","2.05M","7.24%"
"Oct 12, 2017","0.18640","0.20410","0.20570","0.18500","1.19M","-8.67%"
"Oct 11, 2017","0.20410","0.19690","0.20920","0.19550","1.39M","3.66%"
"Oct 10, 2017","0.19690","0.18770","0.20860","0.18620","1.10M","4.90%"
"Oct 09, 2017","0.18770","0.19000","0.19090","0.17490","1.66M","-1.21%"
"Oct 08, 2017","0.19000","0.18630","0.21450","0.18490","1.81M","1.99%"
"Oct 07, 2017","0.18630","0.19850","0.20860","0.18490","1.52M","-6.15%"
"Oct 06, 2017","0.19850","0.17630","0.20010","0.17400","1.34M","12.59%"
"Oct 05, 2017","0.17630","0.18250","0.18530","0.17500","1.42M","-3.40%"
"Oct 04, 2017","0.18250","0.19190","0.20010","0.17920","1.42M","-4.90%"
"Oct 03, 2017","0.19190","0.19990","0.20430","0.18360","2.46M","-4.00%"
"Oct 02, 2017","0.19990","0.21110","0.21450","0.19010","1.46M","-5.31%"
"Oct 01, 2017","0.21110","0.21560","0.22060","0.20530","966.78K","-2.09%"
"Sep 30, 2017","0.21560","0.21130","0.22210","0.21130","1.18M","2.04%"
"Sep 29, 2017","0.21130","0.21600","0.21750","0.19850","1.41M","-2.18%"
"Sep 28, 2017","0.21600","0.23530","0.23530","0.21070","895.76K","-8.20%"
"Sep 27, 2017","0.23530","0.19740","0.23530","0.19450","1.15M","19.20%"
"Sep 26, 2017","0.19740","0.19740","0.19900","0.18140","1.44M","0.00%"
"Sep 25, 2017","0.19740","0.17170","0.20180","0.16340","1.53M","14.97%"
"Sep 24, 2017","0.17170","0.18560","0.18690","0.16900","928.60K","-7.49%"
"Sep 23, 2017","0.18560","0.17910","0.18560","0.17640","1.04M","3.63%"
"Sep 22, 2017","0.17910","0.17190","0.18560","0.16570","1.62M","4.19%"
"Sep 21, 2017","0.17190","0.20370","0.20400","0.16950","1.89M","-15.61%"
"Sep 20, 2017","0.20370","0.20460","0.20990","0.19880","1.37M","-0.44%"
"Sep 19, 2017","0.20460","0.23000","0.23110","0.20300","1.97M","-11.04%"
"Sep 18, 2017","0.23000","0.21060","0.24000","0.20890","1.26M","9.21%"
"Sep 17, 2017","0.21060","0.21040","0.21650","0.19460","1.37M","0.10%"
"Sep 16, 2017","0.21040","0.21020","0.21810","0.19600","1.86M","0.10%"
"Sep 15, 2017","0.21020","0.17310","0.22110","0.15000","3.37M","21.43%"
"Sep 14, 2017","0.17310","0.22380","0.22740","0.17290","2.01M","-22.65%"
"Sep 13, 2017","0.22380","0.25600","0.25960","0.21270","1.41M","-12.58%"
"Sep 12, 2017","0.25600","0.27640","0.30000","0.25000","994.61K","-7.38%"
"Sep 11, 2017","0.27640","0.24470","0.28430","0.23110","2.04M","12.95%"
"Sep 10, 2017","0.24470","0.25180","0.25250","0.22300","1.50M","-2.82%"
"Sep 09, 2017","0.25180","0.25400","0.25600","0.22690","1.14M","-0.87%"
"Sep 08, 2017","0.25400","0.30420","0.30690","0.21610","2.82M","-17.16%"
"Sep 07, 2017","0.30660","0.25940","0.32230","0.24850","1.21M","18.20%"
"Sep 06, 2017","0.25940","0.24440","0.26330","0.22850","1.45M","6.14%"
"Sep 05, 2017","0.24440","0.23330","0.26140","0.18890","1.75M","4.76%"
"Sep 04, 2017","0.23330","0.28110","0.28170","0.18000","5.44M","-17.00%"
"Sep 03, 2017","0.28110","0.29960","0.32610","0.26960","659.89K","-6.17%"
"Sep 02, 2017","0.29960","0.37450","0.40560","0.28310","865.52K","-20.00%"
"Sep 01, 2017","0.37450","0.36870","0.40200","0.34170","722.15K","1.57%"
"Aug 31, 2017","0.36870","0.33270","0.37750","0.32090","847.32K","10.82%"
"Aug 30, 2017","0.33270","0.35630","0.36460","0.32770","868.59K","-6.62%"
"Aug 29, 2017","0.35630","0.33350","0.36210","0.33350","638.88K","6.84%"
"Aug 28, 2017","0.33350","0.34850","0.35660","0.30100","528.08K","-4.30%"
"Aug 27, 2017","0.34850","0.33930","0.35870","0.32960","391.95K","2.71%"
