"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.003072","0.002732","0.003265","0.002712","168.86M","12.28%"
"Jun 29, 2018","0.002736","0.002470","0.002736","0.002425","140.95M","10.99%"
"Jun 28, 2018","0.002465","0.002634","0.002679","0.002458","82.11M","-6.84%"
"Jun 27, 2018","0.002646","0.002586","0.002698","0.002551","141.04M","2.32%"
"Jun 26, 2018","0.002586","0.002826","0.002848","0.002579","133.42M","-8.78%"
"Jun 25, 2018","0.002835","0.002622","0.003057","0.002601","127.11M","7.71%"
"Jun 24, 2018","0.002632","0.002917","0.002921","0.002450","151.32M","-9.74%"
"Jun 23, 2018","0.002916","0.002947","0.003098","0.002866","121.25M","-1.19%"
"Jun 22, 2018","0.002951","0.003535","0.003546","0.002885","150.18M","-16.69%"
"Jun 21, 2018","0.003542","0.003769","0.003826","0.003470","159.89M","-6.07%"
"Jun 20, 2018","0.003771","0.004018","0.004027","0.003740","99.35M","-6.57%"
"Jun 19, 2018","0.004036","0.004201","0.004272","0.003931","109.43M","-4.00%"
"Jun 18, 2018","0.004204","0.004126","0.004324","0.003862","135.67M","1.89%"
"Jun 17, 2018","0.004126","0.004196","0.004359","0.004115","93.43M","-1.67%"
"Jun 16, 2018","0.004196","0.004257","0.004324","0.004025","118.40M","-1.46%"
"Jun 15, 2018","0.004258","0.004501","0.004530","0.004233","109.93M","-5.55%"
"Jun 14, 2018","0.004508","0.004165","0.004703","0.004140","140.94M","7.72%"
"Jun 13, 2018","0.004185","0.004425","0.004491","0.003880","171.85M","-5.55%"
"Jun 12, 2018","0.004431","0.004935","0.004974","0.004389","135.62M","-10.56%"
"Jun 11, 2018","0.004954","0.004761","0.004969","0.004690","148.82M","4.05%"
"Jun 10, 2018","0.004761","0.005701","0.005734","0.004721","127.32M","-16.42%"
"Jun 09, 2018","0.005696","0.005669","0.005917","0.005600","143.46M","0.11%"
"Jun 08, 2018","0.005690","0.005969","0.005986","0.005553","114.54M","-4.63%"
"Jun 07, 2018","0.005966","0.006022","0.006087","0.005933","138.74M","-0.91%"
"Jun 06, 2018","0.006021","0.006152","0.006169","0.005918","122.37M","-2.26%"
"Jun 05, 2018","0.006160","0.005970","0.006299","0.005773","144.71M","2.87%"
"Jun 04, 2018","0.005988","0.006406","0.006465","0.005915","122.14M","-6.86%"
"Jun 03, 2018","0.006429","0.006331","0.006571","0.006288","11.87M","1.77%"
"Jun 02, 2018","0.006317","0.006452","0.006552","0.006199","16.68M","-1.99%"
"Jun 01, 2018","0.006445","0.006672","0.006990","0.006130","22.53M","-4.21%"
"May 31, 2018","0.006728","0.006762","0.006926","0.006322","31.44M","-0.50%"
"May 30, 2018","0.006762","0.006893","0.006996","0.006135","10.98M","-2.10%"
"May 29, 2018","0.006907","0.005187","0.007349","0.005122","81.85M","33.11%"
"May 28, 2018","0.005189","0.006055","0.006083","0.005150","17.94M","-14.30%"
"May 27, 2018","0.006055","0.006461","0.006461","0.005838","17.20M","-6.11%"
"May 26, 2018","0.006449","0.006761","0.006828","0.006431","19.47M","-4.36%"
"May 25, 2018","0.006743","0.007080","0.007123","0.006656","13.96M","-4.12%"
"May 24, 2018","0.007033","0.006880","0.007261","0.006600","25.20M","2.22%"
"May 23, 2018","0.006880","0.007945","0.007973","0.006742","37.31M","-13.40%"
"May 22, 2018","0.007945","0.008831","0.008905","0.007876","19.93M","-10.03%"
"May 21, 2018","0.008831","0.009445","0.009445","0.008824","20.59M","-6.50%"
"May 20, 2018","0.009445","0.008735","0.009654","0.008676","43.56M","8.13%"
"May 19, 2018","0.008735","0.009063","0.009313","0.008688","24.94M","-3.62%"
"May 18, 2018","0.009063","0.008932","0.009470","0.008700","60.62M","0.80%"
"May 17, 2018","0.008991","0.010076","0.010188","0.008937","43.78M","-11.07%"
"May 16, 2018","0.010110","0.010522","0.010907","0.009914","27.61M","-4.17%"
"May 15, 2018","0.010550","0.012480","0.012630","0.010204","87.13M","-14.91%"
"May 14, 2018","0.012398","0.012099","0.012853","0.010882","121.64M","2.47%"
"May 13, 2018","0.012099","0.009162","0.012996","0.008800","117.90M","32.93%"
"May 12, 2018","0.009102","0.009796","0.010000","0.008556","95.03M","-6.77%"
"May 11, 2018","0.009763","0.011800","0.012054","0.009480","118.85M","-17.26%"
"May 10, 2018","0.011800","0.015469","0.015610","0.011750","142.62M","-24.33%"
"May 09, 2018","0.015593","0.012012","0.020152","0.011000","509.35M","30.09%"
"May 08, 2018","0.011986","0.008800","0.018705","0.008532","478.63M","74.98%"
"May 07, 2018","0.006850","0.007161","0.007269","0.006636","14.15M","-4.34%"
"May 06, 2018","0.007161","0.007200","0.007400","0.006813","11.35M","-1.09%"
"May 05, 2018","0.007240","0.006750","0.007293","0.006668","16.95M","7.26%"
"May 04, 2018","0.006750","0.006922","0.007372","0.006628","24.35M","-2.99%"
"May 03, 2018","0.006958","0.005443","0.007000","0.005425","60.30M","27.23%"
"May 02, 2018","0.005469","0.005270","0.005487","0.005150","8.88M","3.78%"
"May 01, 2018","0.005270","0.005521","0.005521","0.005206","5.23M","-4.55%"
"Apr 30, 2018","0.005521","0.005252","0.005699","0.005252","7.11M","5.36%"
"Apr 29, 2018","0.005240","0.005701","0.006000","0.005200","10.68M","-8.09%"
"Apr 28, 2018","0.005701","0.005288","0.005854","0.005276","7.07M","7.81%"
"Apr 27, 2018","0.005288","0.005551","0.005630","0.005263","9.22M","-5.16%"
"Apr 26, 2018","0.005576","0.005060","0.005576","0.004913","7.98M","10.20%"
"Apr 25, 2018","0.005060","0.005427","0.005500","0.004807","21.98M","-6.76%"
"Apr 24, 2018","0.005427","0.005065","0.005468","0.005065","11.12M","6.68%"
"Apr 23, 2018","0.005087","0.004889","0.005172","0.004889","10.63M","4.05%"
"Apr 22, 2018","0.004889","0.004749","0.005179","0.004707","21.61M","2.95%"
"Apr 21, 2018","0.004749","0.005176","0.005215","0.004587","12.25M","-8.25%"
"Apr 20, 2018","0.005176","0.004941","0.005328","0.004883","19.03M","4.02%"
"Apr 19, 2018","0.004976","0.004584","0.004992","0.004489","14.49M","8.55%"
"Apr 18, 2018","0.004584","0.004177","0.004584","0.004140","14.17M","9.74%"
"Apr 17, 2018","0.004177","0.003884","0.004463","0.003884","19.54M","7.54%"
"Apr 16, 2018","0.003884","0.004429","0.004634","0.003809","30.01M","-12.31%"
"Apr 15, 2018","0.004429","0.003400","0.004710","0.003386","32.73M","30.26%"
"Apr 14, 2018","0.003400","0.003311","0.003500","0.003165","6.60M","2.69%"
"Apr 13, 2018","0.003311","0.002969","0.003408","0.002852","18.98M","11.52%"
"Apr 12, 2018","0.002969","0.002571","0.002985","0.002432","11.89M","15.57%"
"Apr 11, 2018","0.002569","0.002408","0.002597","0.002377","10.55M","6.69%"
"Apr 10, 2018","0.002408","0.002176","0.002415","0.002167","5.50M","9.26%"
"Apr 09, 2018","0.002204","0.002192","0.002290","0.002122","4.42M","0.23%"
"Apr 08, 2018","0.002199","0.002172","0.002238","0.002171","1.42M","1.24%"
"Apr 07, 2018","0.002172","0.002091","0.002237","0.002091","2.79M","3.87%"
"Apr 06, 2018","0.002091","0.002140","0.002166","0.002062","2.09M","-2.29%"
