"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","2.5215","2.4456","2.5606","2.4446","-","3.01%"
"Jun 29, 2018","2.4479","2.3076","2.4631","2.3019","-","5.91%"
"Jun 28, 2018","2.3113","2.4406","2.4828","2.3008","-","-5.31%"
"Jun 27, 2018","2.4410","2.4028","2.4853","2.3716","-","1.27%"
"Jun 26, 2018","2.4104","2.5312","2.5777","2.4038","-","-4.71%"
"Jun 25, 2018","2.5295","2.5638","2.6230","2.4794","-","-1.52%"
"Jun 24, 2018","2.5687","2.6395","2.6663","2.3766","-","-2.49%"
"Jun 23, 2018","2.6343","2.6807","2.7298","2.6013","-","-1.74%"
"Jun 22, 2018","2.6808","2.9225","2.9483","2.6096","-","-8.11%"
"Jun 21, 2018","2.9173","3.0907","3.1060","2.9173","-","-5.57%"
"Jun 20, 2018","3.0895","3.2275","3.2324","3.0618","-","-3.98%"
"Jun 19, 2018","3.2177","3.1909","3.2706","3.1087","-","0.97%"
"Jun 18, 2018","3.1868","3.1416","3.2051","3.0358","-","1.52%"
"Jun 17, 2018","3.1391","3.2435","3.2940","3.1331","-","-3.22%"
"Jun 16, 2018","3.2436","3.2142","3.2636","3.1258","-","1.02%"
"Jun 15, 2018","3.2108","3.3166","3.3463","3.1165","-","-3.08%"
"Jun 14, 2018","3.3129","3.2290","3.3656","3.0731","-","2.62%"
"Jun 13, 2018","3.2284","3.4434","3.5463","3.0329","-","-6.35%"
"Jun 12, 2018","3.4472","3.6516","3.8531","3.4086","-","-5.64%"
"Jun 11, 2018","3.6533","3.4177","3.6538","3.3791","-","7.02%"
"Jun 10, 2018","3.4138","3.8906","3.8906","3.3645","-","-12.55%"
"Jun 09, 2018","3.9038","4.0646","4.1336","3.8690","-","-3.97%"
"Jun 08, 2018","4.0653","4.0400","4.0752","3.8797","-","0.59%"
"Jun 07, 2018","4.0417","3.8825","4.0963","3.8758","-","4.07%"
"Jun 06, 2018","3.8838","4.0372","4.1046","3.7862","-","-3.60%"
"Jun 05, 2018","4.0288","3.4566","4.2802","3.3734","-","16.47%"
"Jun 04, 2018","3.4591","3.6310","3.7705","3.4182","-","-4.72%"
"Jun 03, 2018","3.6306","3.4276","3.7354","3.4125","-","6.02%"
"Jun 02, 2018","3.4245","3.4221","3.4767","3.3179","-","0.37%"
"Jun 01, 2018","3.4119","3.3465","3.5292","3.3366","-","1.82%"
"May 31, 2018","3.3510","3.2746","3.4202","3.1164","-","2.00%"
"May 30, 2018","3.2853","3.4781","3.6432","3.2406","-","-5.45%"
"May 29, 2018","3.4747","2.7983","3.6065","2.7725","-","24.74%"
"May 28, 2018","2.7856","2.7704","2.9064","2.6561","-","0.51%"
"May 27, 2018","2.7715","2.8426","2.8567","2.7221","-","-2.48%"
"May 26, 2018","2.8420","2.8432","2.9340","2.7985","-","-0.06%"
"May 25, 2018","2.8437","2.9274","2.9772","2.7842","-","-2.62%"
"May 24, 2018","2.9201","2.8678","2.9672","2.7307","-","1.84%"
"May 23, 2018","2.8673","3.2387","3.2806","2.8353","-","-11.53%"
"May 22, 2018","3.2411","3.4695","3.4870","3.2343","-","-6.60%"
"May 21, 2018","3.4702","3.5544","3.6351","3.4244","-","-2.37%"
"May 20, 2018","3.5546","3.5249","3.5885","3.4598","-","0.73%"
"May 19, 2018","3.5288","3.5580","3.6179","3.4456","-","-0.82%"
"May 18, 2018","3.5580","3.5356","3.5760","3.4196","-","0.43%"
"May 17, 2018","3.5426","3.6157","3.7622","3.4932","-","-1.96%"
"May 16, 2018","3.6134","3.6175","3.6584","3.4165","-","-0.10%"
"May 15, 2018","3.6171","3.7044","3.8043","3.5766","-","-2.41%"
"May 14, 2018","3.7065","3.7948","3.8191","3.6017","-","-2.33%"
"May 13, 2018","3.7947","3.6829","3.8561","3.6310","-","3.12%"
"May 12, 2018","3.6800","3.6401","3.8789","3.3733","-","1.13%"
"May 11, 2018","3.6389","4.0026","4.0506","3.5853","-","-9.17%"
"May 10, 2018","4.0061","4.2660","4.5134","3.9889","-","-6.07%"
"May 09, 2018","4.2649","3.9327","4.3129","3.7159","-","8.50%"
"May 08, 2018","3.9307","3.9253","4.0360","0.0004","-","-0.11%"
"May 07, 2018","3.9350","4.1043","4.1245","3.7916","-","-4.10%"
"May 06, 2018","4.1034","4.3625","4.4192","3.9628","-","-6.05%"
"May 05, 2018","4.3675","4.3339","4.4103","4.2777","-","0.80%"
"May 04, 2018","4.3331","4.4269","4.4444","4.1933","-","-2.31%"
"May 03, 2018","4.4355","4.4176","4.5165","4.2680","-","0.40%"
"May 02, 2018","4.4179","3.9749","4.5345","3.9507","-","11.13%"
"May 01, 2018","3.9755","4.0429","4.0576","3.7513","-","-1.63%"
"Apr 30, 2018","4.0413","4.3225","4.3332","4.0097","-","-6.53%"
"Apr 29, 2018","4.3234","4.0641","4.3638","3.9163","-","6.56%"
"Apr 28, 2018","4.0572","3.5059","4.0669","3.4877","-","15.60%"
"Apr 27, 2018","3.5097","3.6518","3.7462","3.4992","-","-4.08%"
"Apr 26, 2018","3.6589","3.3204","3.6620","3.2398","-","10.03%"
"Apr 25, 2018","3.3254","3.8771","3.8792","3.2400","-","-14.12%"
"Apr 24, 2018","3.8723","3.6190","3.9278","3.5887","-","7.15%"
"Apr 23, 2018","3.6139","3.6299","3.6946","3.5560","-","-0.49%"
"Apr 22, 2018","3.6315","3.6134","3.7984","3.5395","-","0.67%"
